Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
10	280	90	10	10	10	280	10	14.8944	10.4	0.4768	0.026008	0.025864	7.81056	0.24952	0.024784	0.024768	13.56	13.8768	14.1168	14.3136	2.4848	8.97984	17.8944	13.0464	17.0304	0.73752	0.5032	0.72936	1	113.367
10	280	90	10	10	10	280	10	14.8608	10.3904	0.47728	0.026008	0.025888	7.81568	0.24944	0.024784	0.024784	13.5456	13.848	14.088	14.3472	2.48	8.99136	17.9328	13.0752	17.064	0.73776	0.50224	0.7296	1	113.201
10	280	90	10	10	10	280	10	14.8224	10.3776	0.4776	0.026008	0.02592	7.8208	0.24936	0.024792	0.024808	13.5264	13.824	14.0544	14.3856	2.4744	9.00288	17.976	13.0992	17.1024	0.738	0.50112	0.72984	1	113.02
10	280	90	10	10	10	280	10	14.7792	10.3616	0.47808	0.026016	0.025952	7.82848	0.24928	0.024792	0.02484	13.5024	13.8048	14.016	14.4288	2.468	9.01728	18.024	13.1184	17.1456	0.73824	0.50016	0.73008	1	112.828
10	280	90	10	10	10	280	10	14.7312	10.3488	0.4784	0.026032	0.025992	7.83872	0.2492	0.0248	0.024872	13.4736	13.7856	13.9728	14.4768	2.4608	9.03456	18.0768	13.1328	17.1936	0.73824	0.49936	0.73008	1	112.63
10	280	90	10	10	10	280	10	14.6784	10.3392	0.47856	0.026056	0.026032	7.8464	0.24912	0.024816	0.024904	13.44	13.7712	13.9248	14.5296	2.4528	9.05472	18.1344	13.1424	17.2464	0.73824	0.49872	0.73008	1	112.422
10	280	90	10	10	10	280	10	14.6208	10.3264	0.47856	0.02608	0.026072	7.85408	0.24904	0.024832	0.024944	13.4016	13.7568	13.8768	14.5872	2.444	9.07776	18.1968	13.1472	17.304	0.73848	0.49824	0.73008	1	112.222
10	280	90	10	10	10	280	10	14.5584	10.3104	0.47872	0.026104	0.026112	7.86432	0.24896	0.02484	0.024992	13.3584	13.7376	13.824	14.6496	2.4352	9.1008	18.264	13.1472	17.3616	0.73872	0.49792	0.73008	1	112.026
10	280	90	10	10	10	280	10	14.4912	10.2976	0.47872	0.026136	0.026152	7.872	0.24888	0.024848	0.02504	13.3104	13.7136	13.7664	14.7168	2.4264	9.12384	18.336	13.1424	17.4144	0.73896	0.49776	0.73008	1	111.839
10	280	90	10	10	10	280	10	14.4192	10.2816	0.47856	0.026176	0.026192	7.87968	0.2488	0.024856	0.025088	13.2576	13.6848	13.704	14.7888	2.4176	9.14688	18.4128	13.1328	17.4624	0.7392	0.49776	0.73008	1	111.656
10	280	90	10	10	10	280	10	14.3424	10.2624	0.47824	0.026224	0.026232	7.88736	0.24872	0.024864	0.025136	13.2	13.6512	13.6368	14.8656	2.4088	9.16992	18.4944	13.1184	17.5056	0.73944	0.49792	0.73008	1	111.482
10	280	90	10	10	10	280	10	14.2608	10.2432	0.47776	0.026272	0.026272	7.89504	0.24864	0.024872	0.025184	13.1376	13.6128	13.5648	14.9472	2.4	9.19296	18.5808	13.0992	17.5536	0.73968	0.49824	0.73008	1	111.328
10	280	90	10	10	10	280	10	14.1744	10.224	0.47728	0.026328	0.026312	7.90016	0.24856	0.02488	0.025232	13.08	13.5696	13.488	15.0336	2.3912	9.216	18.672	13.0752	17.5968	0.73968	0.49872	0.7296	1	111.194
10	280	90	10	10	10	280	10	14.0832	10.208	0.47664	0.026384	0.026352	7.90272	0.24856	0.02488	0.02528	13.0176	13.5216	13.4064	15.1248	2.3832	9.23904	18.768	13.0464	17.64	0.73968	0.4992	0.7296	1	111.06
10	280	90	10	10	10	280	10	13.9872	10.1888	0.47616	0.02644	0.026392	7.90784	0.24856	0.024872	0.025328	12.9504	13.4688	13.3296	15.2208	2.3752	9.26208	18.8688	13.0224	17.6832	0.73968	0.49968	0.72888	1	110.955
10	280	90	10	10	10	280	10	13.8864	10.1696	0.47568	0.026496	0.026432	7.9104	0.24856	0.024856	0.025376	12.888	13.4112	13.248	15.3216	2.368	9.28224	18.9744	13.0032	17.7216	0.73944	0.5	0.72864	1	110.863
10	280	90	10	10	10	280	10	13.7808	10.1536	0.47504	0.026544	0.026464	7.9104	0.24864	0.024848	0.025416	12.8208	13.3488	13.1712	15.4224	2.3616	9.3024	19.0848	12.9888	17.76	0.7392	0.50016	0.72816	1	110.76
