(MAPKKK_activation).V1	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.0025	11.5291	0.103142	1.05707	0.30247	0.1	47.0338	0.1	0.23567	0.219375	0.130956	0.102269	13.7302	3.60539	99.9974	0.10006	13.7044	100.0	0.909806	59.196	1.0346	6.03978	14165.6
250.002	87.4919	0.428443	0.1	0.401715	0.1	35.4452	0.318133	0.1	0.1	47.7095	0.104942	100.0	100.0	22.3958	0.10983	0.189599	100.0	1.81142	97.5718	4.07365	3.17381	12958.9
500.002	99.4803	0.571955	0.119539	0.123973	0.1	50.5654	0.219874	0.1	0.1	58.1352	0.189114	98.12	100.0	0.1	0.1046	62.1985	100.0	1.9527	75.8152	3.82892	8.45145	6126.62
750.002	87.0119	0.264771	0.357454	0.101935	0.1	15.2757	0.139459	0.1	0.1	23.4799	0.115151	74.1202	100.0	0.1	0.101946	36.44	100.0	1.58978	99.8479	3.19315	4.62937	10451.5
1000.0	97.7344	0.24432	0.444458	0.1	0.1	14.497	0.132361	0.1	0.1	24.5622	0.105324	63.8058	100.0	0.1	0.101201	39.5274	100.0	1.70151	96.8633	3.0942	5.61288	10432.8
1250.0	99.9296	0.334193	0.11507	0.140681	0.103251	29.6831	0.200996	0.1	0.1	24.3755	0.20589	99.1431	100.0	0.1	0.104231	58.7157	95.1731	1.5652	90.7822	2.95877	9.55649	6542.6
1500.0	100.0	0.267709	0.112055	0.136983	0.1	21.3736	0.164863	0.1	0.102088	27.1333	0.179532	89.9326	100.0	0.1	0.104631	68.4231	100.0	1.79615	85.1108	3.06945	8.71993	6863.32
1750.0	64.8001	0.409145	0.391896	0.123498	0.1	29.2961	0.351414	0.1	0.1	43.5406	0.112373	72.1378	100.0	0.102918	0.100001	16.5784	100.0	1.73576	83.1832	3.51354	1.23367	12168.8
2000.0	91.1667	1.10099	0.288061	0.106112	0.1	99.9853	0.341907	0.1	0.1	98.0739	0.113593	88.9835	100.0	0.1	0.104528	34.2167	100.0	1.95332	97.7767	3.16024	3.42787	9963.63
2250.0	99.9731	0.442244	1.59758	0.107467	0.1	11.0152	0.505954	0.1	0.132919	47.0937	0.101093	0.1	100.0	99.9667	0.296662	38.7479	100.0	3.39609	70.0114	2.52101	8.55414	26113.0
2500.0	79.1488	0.58597	0.433958	0.100331	0.1	48.5583	0.341632	0.1	0.1	65.6693	0.100193	98.0893	100.0	0.1	0.102033	29.2951	100.0	1.87154	97.0912	3.77021	1.35868	11769.9
