(phosphorylation_of_MAPKK).k3	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
2.5e-05	0.1	0.162798	0.120438	0.25228	0.148815	18.5431	0.205972	0.1	12.2969	0.100565	100.0	100.0	0.918598	98.7968	0.1683	5.69035	1.1752	1.62216	0.920556	0.1	7.75569	48979.6
2.50002	84.3687	0.119672	1.01424	0.123397	0.1	12.7287	0.272841	0.109995	48.9367	0.100402	0.1	100.0	0.972036	76.8055	0.146526	61.2437	100.0	1.33582	90.7294	14.5524	1.67394	12059.6
5.00002	81.3952	0.12233	1.63389	0.122329	0.1	28.413	0.161098	0.103909	66.228	0.131219	0.478556	100.0	0.946729	3.20906	0.100792	34.1335	100.0	1.18252	89.6844	18.3674	2.69438	12577.7
7.50002	67.5521	0.365357	2.63778	0.249085	0.132711	43.9259	0.318193	0.1	99.9824	0.130335	0.198476	100.0	1.1316	3.98125	0.165188	17.5627	97.7459	0.902579	99.1531	25.0271	0.872921	15325.0
10.0	89.2915	0.198628	2.15964	0.162266	0.1	38.535	0.319788	0.100005	83.4061	0.100184	0.1	100.0	1.18716	0.648188	0.102	21.7094	100.0	1.18526	86.9534	20.1279	0.443884	16322.3
12.5	65.8215	0.276811	1.87161	0.253455	0.100253	48.1845	0.279019	0.100101	100.0	0.110303	0.1	99.8854	1.04796	1.35346	0.337731	7.68122	99.9987	0.949877	75.8265	34.9015	0.852316	15305.5
15.0	81.9661	0.25768	2.91909	0.300075	0.130393	37.7674	0.338837	0.105001	100.0	0.10412	0.1	100.0	1.04628	2.2904	0.341527	2.5907	92.3955	1.4229	74.0135	21.6703	0.477432	17899.1
17.5	77.769	0.319656	3.13804	0.100002	0.100384	10.6966	0.187819	0.108615	98.1513	0.105463	0.1	100.0	0.86917	81.1178	1.89894	62.4041	44.7411	1.53226	66.155	88.1169	2.18059	12971.2
20.0	97.0918	0.100479	2.27851	0.171243	0.1	35.356	0.161444	0.139084	65.5526	0.100115	0.1	100.0	0.891227	0.483071	0.100199	13.6677	100.0	1.91134	72.3729	14.5434	0.518975	17221.2
22.5	76.7744	0.102163	2.15251	0.201062	0.1	35.2057	0.201037	0.138991	67.3978	0.136177	0.1	100.0	0.905186	0.754426	0.100081	8.66041	100.0	1.94736	74.1207	14.6646	0.476671	17285.9
25.0	82.994	0.126959	2.16971	0.171135	0.1	37.3508	0.230458	0.121614	74.4247	0.111788	0.1	100.0	0.997343	0.668668	0.100118	14.7967	100.0	1.63446	76.1128	15.8474	0.469295	17194.3
