(MAPKKK_inactivation).V2	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.00025	78.1748	0.157836	1.03687	0.167484	0.100028	0.102904	0.238477	0.20793	55.0185	0.262174	1.36971	66.9671	0.283582	0.128159	0.256281	94.4167	99.8963	3.73912	49.6489	3.7384	14.8804	12665.7
25.0002	99.7568	0.100355	0.498028	0.484489	0.1	61.3265	0.409918	0.423597	84.4968	0.1007	39.5296	42.5234	1.96442	100.0	0.100015	1.14575	100.0	0.150103	92.8845	0.135052	4.39301	20816.9
50.0002	30.7035	0.142228	0.1	0.37344	0.1	96.9536	0.432518	0.30809	73.0488	0.100705	0.1	2.70632	2.48925	100.0	0.10016	0.10768	100.0	0.541686	72.7416	0.374308	1.29006	20212.5
75.0002	15.2436	0.124579	0.1	0.414178	0.1	97.623	0.435741	0.58834	73.36	0.115783	0.1	29.5802	2.93924	100.0	0.100001	0.299038	100.0	0.218906	89.6012	0.134915	8.80972	20615.2
100.0	54.6676	0.110717	0.210311	0.474245	0.1	92.4763	0.638465	0.415926	79.5252	0.100001	36.5906	3.8283	3.47772	100.0	0.1	0.530077	100.0	0.190037	100.0	0.193852	10.628	20997.3
125.0	31.0951	0.100475	2.73531	0.137436	0.1	99.9998	0.702305	0.529597	90.6237	0.100086	64.5718	3.01514	3.33109	100.0	0.583847	0.1	0.1	0.181776	99.5482	0.241074	4.24031	25393.0
150.0	13.6206	0.102475	0.47997	0.360448	0.1	100.0	0.671447	0.62468	95.9005	0.100114	92.8739	5.8481	3.06218	100.0	0.10062	0.846234	100.0	0.135643	66.6949	0.211492	5.46475	21286.9
175.0	95.6377	0.13134	0.584696	0.417109	0.1	99.952	0.743394	0.690031	92.1858	0.132431	75.2366	25.5045	3.95999	100.0	0.398539	1.38383	100.0	0.100017	69.0834	0.1	6.49523	21752.8
200.0	98.5766	0.100107	0.565557	0.525419	0.1	99.732	0.941283	0.864715	51.0264	0.100805	68.1681	32.265	4.40409	100.0	0.106464	1.35183	100.0	0.114663	100.0	0.156885	5.38026	21246.0
225.0	15.9732	0.100681	0.1	0.408891	0.1	99.8837	0.80178	1.04333	27.465	0.151649	0.1	28.8517	5.00685	100.0	0.1	0.248479	100.0	0.197655	90.0598	0.149182	10.2022	20690.6
250.0	7.19759	0.220124	0.1	0.420206	0.1	97.9033	0.58854	1.56123	7.60765	0.101911	81.6886	98.3388	7.30187	100.0	0.1	0.263839	100.0	0.222994	91.2169	0.533797	3.12517	20579.3
