(dephosphorylation_of_MAPK-PP).V9	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.0005	100.0	0.163695	0.264699	0.1	13.6391	0.107803	0.1	0.1	14.0588	0.18058	97.776	92.8786	0.393098	100.0	0.101018	15.6244	100.0	1.35376	47.7951	3.65713	4.24454	3919.31
50.0005	29.1163	0.196862	0.36765	0.333439	15.7775	0.361303	0.100239	0.176138	27.5074	0.454811	46.616	100.0	0.505834	76.2398	0.303497	39.3546	0.21008	2.23694	95.3671	4.15073	0.823288	21253.9
100.0	8.27662	0.153023	0.102849	0.378011	0.121351	0.166216	0.287291	0.247035	32.5839	0.445846	65.0667	0.979151	0.156976	100.0	0.231421	59.4824	0.1	1.77271	96.561	2.93699	9.32399	57252.7
150.0	19.6674	0.188664	0.1	0.547449	0.101537	0.198223	0.307655	0.257392	38.0907	0.629904	60.5893	0.1	0.188547	68.167	0.276146	70.4148	0.1	1.90418	100.0	2.71387	6.75552	59117.9
200.0	29.7358	0.136556	0.130086	0.253674	0.1	0.177072	0.220806	0.203251	32.2741	0.299904	76.8838	7.82244	0.223474	2.2456	0.18755	47.4697	18.7074	1.46314	99.9974	2.36704	0.259487	60060.8
250.0	15.1874	0.211401	0.1	0.512695	0.1	0.19758	0.316046	0.260126	34.1396	0.591131	31.8434	0.1	0.188371	25.97	0.260579	75.705	0.1	2.00738	100.0	2.40979	9.71115	60465.5
300.0	11.9131	0.184548	0.1	0.382746	0.1	0.198051	0.319731	0.256881	38.4317	0.55272	4.98764	0.476067	0.188497	17.3519	0.331299	72.7047	0.1	1.97268	100.0	1.70433	8.30755	60300.2
350.0	16.1307	0.145858	0.1	0.359019	0.1	0.198667	0.290781	0.24363	33.085	0.51591	34.1198	0.1	0.188622	32.0921	0.2424	73.2538	0.10128	1.78879	100.0	2.14533	8.72631	60550.6
400.0	24.0859	0.19752	0.100002	0.433553	0.1	0.198631	0.314343	0.23276	37.984	0.524738	49.1393	0.1	0.188447	47.0947	0.23054	71.65	0.1	1.71661	99.998	2.43605	7.09662	60736.6
450.0	16.6248	0.143952	0.100011	0.458241	0.1	0.19788	0.313143	0.256115	36.2913	0.535716	7.71171	0.672818	0.188371	99.3779	0.306647	71.4477	0.1	1.96114	99.9921	1.7015	2.68172	60338.3
500.0	16.0949	0.193964	0.1	0.40248	0.1	0.19828	0.297539	0.246341	38.0637	0.528121	28.4095	0.1	0.188622	55.5912	0.235805	75.3082	0.10256	1.8831	100.0	2.09565	3.09296	60550.3
