(MAPKKK_activation).n	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	RSS
0.001	22.372	0.200472	0.990952	0.174369	0.1	0.1	0.11176	0.326774	0.270939	47.4825	0.100145	42.4199	1.14601	0.210318	0.976784	0.100004	4.07437	100	2.35833	29.3563	2.8982	14291.9
100.001	100.0	0.101532	0.712319	0.102794	0.1	19.4424	0.114617	0.1	0.1	14.7907	0.1	100.0	95.6105	0.388321	100.0	0.118243	100.0	100	1.31803	30.9684	3.67271	3540.16
200.001	100.0	0.101522	0.712046	0.103383	0.1	19.3194	0.114408	0.1	0.1	15.1519	0.100005	100.0	95.6914	0.388371	100.0	0.138909	100.0	100	1.31938	31.3747	3.66196	3540.04
300.001	100.0	0.126932	0.716488	0.100276	0.1	12.546	0.1	0.1	0.1	16.179	0.100999	99.6995	93.8858	0.384905	100.0	0.116756	100.0	100	1.34041	29.8719	3.5991	3532.82
400.001	100.0	0.103458	0.701828	0.100038	0.1	12.6527	0.100123	0.1	0.1	15.2621	0.100001	100.0	94.0813	0.384895	100.0	0.11439	100.0	100	1.3345	29.4215	3.62485	3532.59
500.0	100.0	0.112457	0.701429	0.100002	0.1	12.6237	0.100181	0.1	0.1	15.8214	0.100032	100.0	94.6143	0.385533	100.0	0.102551	100.0	100	1.3345	29.6019	3.61688	3532.6
600.0	100.0	0.124479	0.6719	0.102775	0.1	15.1824	0.104833	0.1	0.1	15.2679	0.100013	99.7186	93.7115	0.385156	100.0	0.108275	100.0	100	1.33839	30.8005	3.64764	3535.76
700.0	100.0	0.104734	0.705643	0.1	0.1	12.8056	0.100339	0.1	0.1	15.3019	0.100096	100.0	93.7115	0.384152	100.0	0.117595	100.0	100	1.33492	29.4208	3.61961	3532.67
800.0	100.0	0.112316	0.69379	0.100618	0.1	12.6126	0.100036	0.1	0.1	15.377	0.100019	100.0	94.3092	0.385232	100.0	0.140767	100.0	100	1.33374	29.7238	3.62394	3532.69
900.0	100.0	0.102794	0.727033	0.100846	0.1	18.7909	0.113847	0.1	0.1	14.772	0.100275	100.0	96.258	0.389074	100.0	0.116903	100.0	100	1.31127	30.1946	3.65425	3539.54
1000.0	100.0	0.101767	0.713727	0.103716	0.1	18.8719	0.11338	0.1	0.1	14.806	0.100141	99.9808	95.5358	0.38714	100.0	0.124884	100.0	100	1.31592	31.2812	3.65425	3539.47
