(MAPKKK_activation).Ki	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.009	96.0576	0.143051	0.184599	0.226367	0.128772	3.56975	0.100086	0.1	0.1	10.0726	0.100799	95.7349	98.8245	1.10988	0.101763	0.408317	75.3664	1.27423	30.0576	3.35574	0.431797	3542.14
900.008	82.7495	0.355277	0.980307	0.100002	0.1	22.4128	0.14321	0.119017	0.1	21.3833	0.103449	19.0339	86.0419	0.813457	0.159751	100.0	100.0	4.02462	9.68269	7.55082	0.21409	42596.7
1800.01	51.0977	0.514177	0.985484	0.286904	0.108466	39.5631	0.217185	0.110812	0.1	31.7185	0.109764	11.7902	54.08	0.907708	0.311814	41.0085	95.3062	5.58619	63.2579	7.5366	0.282874	42581.3
2700.01	72.8922	0.365173	1.31621	0.121162	0.1	21.1631	0.122168	0.137949	0.120346	5.17734	0.145094	15.187	96.8234	0.773221	0.215631	98.7456	75.8349	4.11474	0.962803	8.74286	0.161883	42692.8
3600.01	100.0	0.400577	0.876109	0.1	0.1	26.8564	0.139101	0.143762	0.117073	18.1914	0.123912	39.9427	92.049	0.804877	0.211708	100.0	100.0	4.44696	8.37932	10.6558	0.146132	42639.9
4500.0	76.6362	0.421797	0.624724	0.1	0.1	27.0072	0.187562	0.171418	0.103265	1.47532	0.10134	11.0932	67.398	0.924872	0.332239	99.2563	100.0	4.3053	0.1	10.3415	0.10597	42513.6
5400.0	74.9569	0.452812	1.08064	0.1	0.1	31.177	0.163243	0.13181	0.12559	3.5273	0.12973	27.7318	81.7271	0.788693	0.254002	97.5207	87.1629	4.74922	0.619698	9.84169	0.183821	42619.6
6300.0	99.9296	0.42898	0.992832	0.1	0.1	23.1775	0.175395	0.159865	0.105541	19.2896	0.102861	35.5651	78.6949	0.798674	0.232083	100.0	100.0	4.43798	7.50674	11.2291	0.155364	42580.1
7200.0	100.0	0.491221	0.759885	0.188344	0.1	9.79217	0.270494	0.119762	0.1	37.9545	0.100012	24.6048	87.5063	1.05101	0.154114	99.9936	99.9987	4.32405	57.3856	7.29698	0.144921	42322.0
8100.0	73.5169	0.434026	2.0516	0.227111	0.122334	16.1468	0.235291	0.152425	0.108817	0.647353	0.148423	20.1481	96.055	0.956805	0.117479	40.707	62.9978	3.57163	0.1	10.6983	0.1	42732.9
9000.0	50.4603	0.595282	1.20619	0.221997	0.1	28.285	0.27227	0.13429	0.1	38.3161	0.102142	16.1641	88.8438	0.965887	0.253792	98.5434	80.6707	4.30779	68.824	10.064	0.179802	42391.4
