(dephosphorylation_of_MAPK-P).KK10	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	100.0	0.134925	0.1	0.189876	0.121261	14.273	0.124976	0.1	0.1	22.199	0.139022	53.3201	91.3816	0.39127	100	0.10001	68.9408	1.38884	21.9173	2.42278	3.45485	4031.79
1500.01	97.8099	0.100117	0.583579	0.1	0.1	10.7048	0.100398	0.1	0.1	6.70519	0.103663	0.1	96.0413	0.371021	100	0.246805	100.0	1.23022	100.0	1.39365	3.17728	3893.32
3000.01	99.945	0.109294	0.660665	0.1	0.1	13.6094	0.1	0.1	0.1	1.25793	0.102942	98.0702	85.0507	0.363868	100	0.221348	100.0	1.33264	100.0	4.34394	3.01739	4306.44
4500.01	99.5085	0.100133	0.733573	0.1	0.1	11.9473	0.1	0.1	0.1	0.849268	0.104961	99.8721	83.5502	0.36436	100	0.25621	100.0	1.34202	100.0	4.41592	2.79117	4415.77
6000.01	80.6976	0.116924	0.659493	0.1	0.1	15.6547	0.1	0.1	0.1	0.661658	0.171238	92.4008	76.0973	0.353661	100	0.257072	100.0	1.42606	100.0	4.67915	2.92227	4493.5
7500.01	69.4465	0.100013	0.638566	0.1	0.1	11.9396	0.1	0.1	0.1	0.570198	0.116867	99.4668	71.7576	0.360442	100	0.260188	100.0	1.49988	100.0	5.26874	2.58226	4494.88
9000.01	64.5018	0.139542	0.636359	0.1	0.1	12.0892	0.1	0.1	0.1	0.526578	0.144183	59.2235	66.865	0.352139	100	0.220978	100.0	1.53606	99.996	3.93294	2.49466	4533.19
10500.0	41.682	0.105653	0.56951	0.1	0.1	15.6311	0.1	0.1	0.1	0.608423	0.115463	58.0034	54.7823	0.342715	100	0.237617	100.0	1.73803	99.89	4.51747	2.57555	4501.76
12000.0	49.3285	0.102066	0.573552	0.1	0.1	17.2994	0.100009	0.1	0.1	0.455521	0.140199	50.2072	52.8048	0.334678	100	0.234684	100.0	1.72504	99.944	3.94989	2.64746	4519.32
13500.0	48.2881	0.101179	0.60863	0.1	0.1	14.3897	0.1	0.1	0.1	0.434884	0.157356	54.9801	59.1693	0.349893	100	0.202835	100.0	1.684	99.3566	4.25351	2.56033	4526.43
15000.0	35.5777	0.109973	0.50682	0.1	0.1	5.69001	0.123877	0.1	0.1	0.333106	0.100291	93.8012	48.5261	0.386633	100	0.273238	100.0	1.87408	97.078	6.27103	1.6007	4497.7
