(phosphorylation_of_MAPK-P).k8	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
2.5e-05	19.684	0.145522	0.1	0.1	0.1	0.198177	0.298163	0.247203	36.3054	0.419731	18.2166	0.1	0.188497	70.5004	0.283006	71.2186	0.10128	1.89565	100.0	1.81892	10.1458	60479.9
2.50002	100.0	0.132975	1.53466	0.118488	14.553	0.111098	0.1	0.1	20.7544	0.100019	93.0044	98.4434	0.39352	100.0	0.100814	10.2335	100.0	1.32986	90.8012	3.39604	4.14832	7919.48
5.00002	99.4714	0.106455	1.29675	0.100306	10.8982	0.111616	0.1	0.1	13.7225	0.11544	99.9309	87.6508	0.396343	100.0	0.153626	6.98618	100.0	1.36536	96.4154	3.65425	3.12751	8085.89
7.50002	99.9488	0.116239	1.01976	0.106141	14.8519	0.127413	0.1	0.1	15.5906	0.100644	91.838	97.4746	0.411483	100.0	0.14536	3.33181	100.0	1.30323	90.127	3.41855	3.07968	8103.56
10.0	99.9181	0.130795	1.05613	0.110692	13.7348	0.130552	0.1	0.1	15.4427	0.120655	96.1352	99.9676	0.416461	99.9962	0.150326	1.93406	99.9949	1.27781	75.4576	3.48692	2.86792	8126.25
12.5	99.9808	0.10846	1.2608	0.100426	13.1207	0.127341	0.1	0.100481	9.84085	0.107365	100.0	95.2257	0.416516	100.0	0.153555	2.81982	100.0	1.317	96.2706	3.77226	2.82196	8180.9
15.0	96.9459	0.103952	1.18601	0.101154	12.3044	0.141889	0.1	0.100086	11.8342	0.104115	94.1733	99.0212	0.426513	99.9949	0.169702	2.17934	99.9117	1.25815	98.725	3.52977	2.3795	8187.52
17.5	99.4048	0.109075	1.17714	0.101435	12.0349	0.141056	0.1	0.1	8.66853	0.112959	100.0	94.7239	0.425654	99.927	0.180355	1.93406	99.9898	1.26398	97.0825	3.70038	2.36175	8199.55
20.0	99.9642	0.120087	1.10781	0.100084	14.3075	0.143569	0.1	0.1	12.2967	0.100197	95.2028	94.9841	0.426759	99.9974	0.159853	1.57951	99.7376	1.30616	98.0658	3.60174	2.46292	8171.94
22.5	96.8474	0.115601	0.977618	0.10585	13.1204	0.140525	0.1	0.100001	12.9005	0.119249	86.3989	95.6292	0.426508	99.991	0.1754	1.19295	99.3395	1.31065	95.8911	3.41682	2.45311	8190.4
25.0	100.0	0.122053	1.01354	0.102957	15.4221	0.129008	0.1	0.1	15.3221	0.125239	81.539	95.8633	0.411825	100.0	0.164871	1.09951	98.8608	1.30828	99.0846	3.13718	3.10785	8165.24
