(MAPKKK_activation).K1	(phosphorylation of MAPKK).KK3	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.01	100.0	0.706143	0.101042	0.1	8.84965	0.111481	0.1	0.1	16.5097	0.100179	100.0	93.307	0.399824	100.0	0.110282	100.0	100.0	1.34818	29.9872	3.60389	2.96771	3519.6
1000.01	11.9833	0.782765	0.191959	0.1	41.3079	0.100253	0.144274	0.125969	11.2346	0.102608	23.7441	7.99828	1.28153	99.9987	0.10325	80.2126	100.0	1.49913	51.8788	1.99632	3.92729	8847.55
2000.01	13.9547	0.601381	0.317433	0.1	75.7206	0.101079	0.171675	0.1548	11.2892	0.104089	72.6468	5.23381	2.55361	100.0	0.125172	84.2728	99.5725	2.55523	88.5733	5.04799	6.21518	8115.94
3000.01	15.9336	0.12733	0.520565	0.14835	51.8144	0.1	0.199376	0.181193	14.7302	0.102162	21.6313	3.65147	1.36891	99.991	0.109039	1.15215	100.0	1.5702	73.1968	1.75965	4.822	11754.4
4000.01	23.826	1.59199	0.42408	0.183427	46.4325	0.1	0.221509	0.180358	18.1138	0.101407	28.0271	0.133622	1.62968	99.9808	0.334348	13.5137	91.5315	1.20726	36.011	1.40518	3.18599	20332.4
5000.01	35.0004	1.58904	0.28332	0.150848	37.9477	0.1	0.243876	0.171106	17.7275	0.123069	19.4853	0.1	1.10969	100.0	0.183899	68.4585	99.9091	0.849364	30.2848	0.915267	3.01535	21154.3
6000.0	22.4424	0.814101	0.295649	0.1	47.3711	0.1	0.220816	0.176575	12.7347	0.100001	24.9015	0.553273	1.43301	100.0	0.100296	10.1959	100.0	1.16748	52.4267	1.39173	6.41709	12841.6
7000.0	9.50798	0.980289	0.257788	0.1	52.0231	0.1	0.218467	0.200413	9.04914	0.1	8.61973	4.11595	1.60377	100.0	0.100963	18.8576	100.0	1.24078	49.7398	1.2806	4.52383	12615.4
8000.0	21.3992	0.898344	0.303743	0.1	42.4952	0.1	0.232408	0.173748	10.3101	0.102302	20.1989	0.377692	1.55825	100.0	0.103933	12.3642	100.0	0.994605	57.4021	1.19395	6.05115	13369.6
9000.0	14.9135	0.974494	0.257415	0.1	56.6517	0.100125	0.221531	0.201044	3.4199	0.100262	75.8402	2.16712	1.77867	100.0	0.101085	22.3021	100.0	1.25252	51.1267	2.5938	6.04321	12864.6
10000.0	48.6503	0.944421	0.307658	0.1	41.9578	0.1	0.232338	0.178521	3.93817	0.100938	55.7576	3.05997	1.59956	100.0	0.100319	14.146	100.0	0.86945	55.4389	1.40513	6.19539	13665.5
