(dephosphorylation_of_MAPKK-P).V6	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(MAPKKK activation).n	RSS
0.00075	99.9987	0.141846	1.85483	0.20222	0.1	37.3912	0.1	0.1	0.142762	99.9998	0.103225	0.105116	84.4953	0.203818	100.0	0.101032	92.1985	100.0	1.6683	95.2069	2.86907	13684.4
75.0007	2.68815	0.106335	0.612208	0.189975	0.1	30.4296	0.1751	0.558774	0.101211	4.57464	0.259266	100.0	98.6539	0.873851	0.111358	0.11463	96.6938	100.0	1.50038	61.5628	0.322729	8021.78
150.001	0.467359	0.10083	0.550372	0.144443	0.1	58.4767	0.10027	0.834009	0.102039	0.992692	0.226171	100.0	98.0163	0.845546	0.10256	0.154605	92.3021	100.0	1.46449	41.2912	10.3264	10133.3
225.001	0.1	0.131292	2.02886	0.10796	0.116244	28.9992	0.175065	0.463863	0.100001	23.1136	0.14537	98.982	99.9988	1.00392	0.1	0.280779	25.0284	99.744	0.646456	15.2429	9.64919	20284.0
300.0	0.1	0.193137	1.02318	0.186056	0.1	42.7572	0.210832	0.646869	0.100038	28.5876	0.101767	100.0	99.9577	1.03444	0.388353	0.105732	84.9409	100.0	0.716644	67.5938	15.1367	19181.4
375.0	0.1	0.100005	0.920769	0.120753	0.1	51.5056	0.17904	0.945745	0.1	6.96784	0.104605	100.0	100.0	1.0821	0.1	0.144307	94.6855	99.9962	0.772321	37.6494	7.88674	17845.1
450.0	0.1	0.437855	0.785726	0.113108	0.1	59.0815	0.243396	0.946357	0.101156	26.5382	0.115707	100.0	98.9278	0.957534	2.43632	0.108984	92.6388	100.0	0.713451	38.3047	16.1819	19452.9
525.0	0.1	0.240202	1.02788	0.23436	0.1	20.3122	0.2101	0.295719	0.12694	38.9643	0.225307	100.0	26.9996	0.896361	1.66449	0.171235	47.5204	99.8042	0.573278	63.441	10.7057	25448.9
600.0	0.1	0.40961	0.966138	0.100673	0.1	60.8742	0.28904	1.25364	0.100237	1.99392	0.124854	99.9987	100.0	1.03835	11.1568	0.203244	90.7162	100.0	0.550406	32.2118	18.9805	19519.9
675.0	0.1	0.159218	0.823456	0.1	0.1	18.8915	0.204138	0.433791	0.100001	39.4371	0.102296	100.0	27.9236	0.898787	8.96804	0.178867	99.2205	100.0	0.602248	32.5825	10.4101	25013.5
750.0	0.1	0.175816	0.970852	0.149153	0.1	24.485	0.21282	0.376138	0.1	37.121	0.100012	100.0	21.4421	1.12924	0.425472	0.144416	83.4664	100.0	0.553142	53.211	7.25994	25575.3
