(phosphorylation_of_MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	0.100001	0.55337	0.1	0.1	21.7868	0.248319	0.1	0.105569	3.85422	0.100032	100	33.5659	0.44767	100.0	0.111	100.0	100.0	2.28014	28.4528	8.53829	1.1435	5346.5
1500.01	0.218091	0.714154	0.165961	0.1	3.07099	0.191591	0.309383	0.1	46.2494	0.101448	100	100.0	0.558538	100.0	0.104838	75.5112	100.0	1.32256	51.7141	1.66399	1.64496	3346.86
3000.01	0.1	0.233446	0.24812	0.1	1.81758	0.1	0.584747	0.1	65.4916	0.110951	100	100.0	1.28798	0.110086	0.126777	4.45388	100.0	1.39668	40.8612	1.53541	8.04692	3198.26
4500.01	0.270975	0.294301	0.299446	0.1	1.98754	0.1	0.785354	0.1	70.8486	0.1011	100	100.0	1.15282	0.144637	0.110285	5.62635	100.0	1.47687	51.8123	1.51394	8.75671	3296.46
6000.01	0.1	0.429944	0.399728	0.1	33.7626	0.18441	0.951281	0.1	69.1597	0.106113	100	100.0	0.92769	0.468472	0.101883	6.67467	100.0	1.43969	74.5771	1.43057	10.206	3614.11
7500.01	0.38421	0.710103	0.276326	0.1	41.9531	0.20147	0.986049	0.1	56.6981	0.235759	100	100.0	0.880608	1.09454	0.102238	14.7348	100.0	1.35384	54.2752	1.30139	17.2275	3860.34
9000.01	0.119842	0.767633	0.373335	0.1	88.2739	0.372177	1.35015	0.1	85.9668	0.100533	100	100.0	0.55462	100.0	0.100192	37.2728	100.0	1.51079	99.9993	1.36151	31.1264	3821.58
10500.0	0.507962	0.889197	0.218042	0.1	68.3042	0.30586	0.662515	0.1	100.0	0.19711	100	100.0	2.14471	0.378873	0.163296	23.9353	100.0	1.55964	42.5537	0.839608	19.4377	6146.57
12000.0	0.632968	0.274898	0.549314	0.102939	46.2969	0.227545	1.45028	0.1	67.0727	0.354857	100	100.0	1.58697	0.179359	0.106378	4.523	97.0816	1.39025	92.8684	1.23037	27.9868	3983.56
13500.0	0.1	0.305862	0.29605	0.1	62.3387	0.295649	1.19685	0.1	88.2996	0.28853	100	100.0	2.31407	0.11024	0.100227	8.38345	100.0	1.42695	49.3894	1.00944	23.0937	4943.92
15000.0	0.646949	0.718359	0.333479	0.1	70.0113	0.312588	0.956598	0.1	99.9749	0.100329	100	100.0	2.69363	0.1	0.266465	10.7694	100.0	1.47885	56.0678	0.824834	10.1843	6077.26
