(phosphorylation_of_MAPK).k7	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
2.5e-05	52.1051	0.112887	0.282392	0.139731	6.42662	0.121701	0.1161	0.119364	16.3955	0.100009	4.12471	62.8721	0.450948	15.1554	0.108946	100.0	85.0816	2.33036	0.1	2.59818	8.51907	47744.0
2.50002	99.7696	0.104113	1.75093	0.302481	0.101025	0.100459	0.1	0.1	14.4092	0.100033	100.0	58.7163	0.679171	99.872	0.267199	6.14219	77.312	1.74174	100.0	4.17156	2.32872	11931.8
5.00002	99.6557	0.138196	2.0115	0.28752	0.1	0.111421	0.1	0.100925	6.62803	0.148371	100.0	76.4114	0.73307	100.0	0.288526	25.6032	81.6154	1.41704	99.9789	4.15218	2.20157	12010.6
7.50002	99.7389	0.108951	1.1706	0.18122	5.29663	0.1	0.1	0.101559	8.69291	0.113172	100.0	71.6408	0.753163	100.0	0.147121	17.0162	55.4957	1.51579	75.3641	4.1959	2.77565	12195.0
10.0	97.289	0.110129	1.85306	0.243809	9.29478	0.1	0.1	0.1	7.07572	0.108476	100.0	74.4999	0.731779	100.0	0.179584	0.1	79.0758	1.42645	98.9014	4.28834	2.96843	12165.0
12.5	99.8042	0.130709	1.80562	0.297126	0.1	0.100396	0.1	0.1	2.6908	0.146582	99.9962	49.1776	0.734587	99.9974	0.158628	74.6383	74.2131	1.87212	51.1939	4.74547	2.30679	12242.3
15.0	99.1206	0.119159	1.58271	0.224219	8.26001	0.1	0.1	0.1	5.87923	0.106242	99.9744	62.7845	0.721487	100.0	0.151295	64.863	63.4355	1.58439	77.2088	4.34062	2.80264	12188.9
17.5	99.9296	0.102223	1.76354	0.259135	0.1	0.1	0.1	0.1	8.71519	0.105731	100.0	63.056	0.7385	100.0	0.152077	73.8383	90.7469	1.61321	75.1586	4.31281	2.34167	12080.1
20.0	99.8464	0.103233	1.24971	0.184017	11.3496	0.1	0.1	0.1	8.61084	0.101225	100.0	67.8689	0.739937	100.0	0.100628	63.9094	57.5002	1.52658	96.3077	4.27699	3.08839	12246.5
22.5	85.9751	0.162003	1.71321	0.229967	0.108977	0.1	0.1	0.100314	8.37093	0.101408	99.9655	71.1203	0.728956	100.0	0.106517	73.6028	71.1731	1.46376	90.653	4.30762	2.37641	12176.3
25.0	99.9027	0.100456	1.2479	0.195119	9.86118	0.100101	0.1	0.1	6.7087	0.107933	100.0	69.6658	0.736481	100.0	0.100131	53.8052	55.9322	1.49332	98.7013	4.33168	2.98698	12227.5
