(phosphorylation_of_MAPKK-P).KK4	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	26.3784	0.200448	0.500181	0.220141	0.1	12.9805	0.149234	0.123911	0.1	20.0576	0.115504	86.1137	0.36655	61.4343	0.123104	100.0	100.0	4.02827	72.2412	7.57306	0.793642	5069.31
1500.01	97.6102	0.118961	0.646596	0.117792	0.1	43.4304	0.171467	0.1	0.773045	19.0274	0.113528	99.6828	0.429587	100.0	0.206557	97.8701	100.0	1.07425	40.7993	3.84506	7.72409	4048.47
3000.01	53.5195	0.100994	0.132009	0.174377	0.1	40.2906	0.161698	0.117214	0.599523	83.6462	0.100425	100.0	1.26349	3.3305	0.100018	53.6925	100.0	0.782048	41.097	6.05566	12.8025	7882.17
4500.01	99.8656	0.10018	0.904575	0.162761	0.100035	53.386	0.468675	0.1039	0.966498	96.4614	0.110571	100.0	0.760367	59.4516	0.118354	99.6531	100.0	0.766	41.12	6.76363	1.01877	7417.16
6000.01	87.3728	0.126236	0.406671	0.401765	0.284205	22.889	0.100511	0.104708	0.103578	28.1169	0.229116	90.98	0.338003	99.5558	0.108412	0.1	1.2584	0.292746	0.944364	4.80495	1.63482	38252.9
7500.01	84.3252	0.114802	0.288697	0.372085	0.270021	20.9076	0.100065	0.1	0.101971	24.5558	0.248282	92.2856	0.449459	99.9296	0.116431	61.48	6.68288	0.208604	3.23086	5.33935	1.95798	37857.4
9000.01	50.3105	0.143699	0.161347	0.367183	0.254234	16.2522	0.100332	0.103314	0.115661	26.8416	0.252613	81.9803	0.407339	99.7299	0.11105	40.9029	1.84464	0.29283	1.21569	6.11674	1.53537	38411.8
10500.0	99.1936	0.118661	0.114216	0.355466	0.247552	17.1114	0.100035	0.117221	0.12591	26.3208	0.261309	96.327	0.4043	99.9706	0.114381	41.891	3.04656	0.282492	1.18539	6.25449	1.62645	38200.5
12000.0	0.1	0.135764	0.218322	0.348018	0.255331	22.464	0.100022	0.103631	0.100974	28.119	0.256795	57.2399	0.392053	99.9386	0.128396	47.8827	0.1	0.308118	1.94931	5.21414	1.92082	41190.2
13500.0	25.6577	0.122676	0.163707	0.33805	0.240914	18.4731	0.1	0.100204	0.104974	29.61	0.282153	89.6896	0.383599	99.9885	0.103572	39.0379	0.1	0.368356	1.05566	5.92037	2.09117	41474.5
15000.0	93.9059	0.139442	0.127848	0.316543	0.223873	12.4206	0.123117	0.102081	0.139322	28.9778	0.243814	80.2589	0.296803	100.0	0.103491	52.9348	10.4115	0.472971	1.41325	5.11281	5.37053	53661.7
