(dephosphorylation_of_MAPKK-P).KK6	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	99.8234	0.117785	0.703554	0.100232	0.1	10.6513	0.10639	0.1	0.1	25.4033	0.100014	99.8157	0.404009	100.0	0.103106	99.9206	100.0	1.33028	31.4656	1.22523	4.86388	3349.62
1500.01	99.1053	0.100439	0.802193	0.380211	0.1	3.72348	0.1	0.1	0.1	87.1264	0.100152	100.0	0.369665	100.0	0.163652	27.1609	100.0	1.43346	96.8579	22.3851	3.2951	4166.62
3000.01	50.9748	0.167701	1.18215	0.210848	0.1	0.1	0.102471	0.1	0.100001	91.414	0.103106	100.0	0.3211	99.9987	0.113382	24.8659	100.0	0.924556	52.3944	24.8006	2.4435	7151.83
4500.01	94.8531	0.116936	1.37674	0.179774	0.1	12.8051	0.158005	0.1	0.1	78.9445	0.11021	100.0	0.276082	99.9859	0.117098	84.5518	100.0	0.504526	67.9619	18.9334	5.84801	9151.32
6000.01	100.0	0.11787	1.32996	0.141541	0.1	16.4783	0.190417	0.1	0.1	96.8207	0.181152	100.0	0.306357	100.0	0.109424	83.5163	100.0	0.513817	55.6332	23.7506	6.35604	9473.63
7500.01	98.217	0.111417	1.35017	0.180708	0.1	11.9866	0.16211	0.1	0.1	99.947	0.112094	100.0	0.27031	100.0	0.102145	97.4976	100.0	0.431888	77.9983	21.1392	5.69954	10773.3
9000.01	99.8259	0.3009	3.85837	0.396628	0.111055	3.07953	0.10001	0.1	0.312601	99.9979	0.420674	100.0	0.264709	100.0	0.204986	0.1	31.1859	4.16604	75.1943	33.3429	1.1563	12853.4
10500.0	98.1581	0.36011	0.878925	0.317984	0.1	0.1	0.100712	0.1	0.1	100.0	0.111737	100.0	0.316137	100.0	0.109248	23.0726	100.0	0.812593	78.1603	61.4626	3.01473	6731.69
12000.0	98.8147	0.234748	1.14459	0.312164	0.1	23.9169	0.211688	0.1	0.1	95.8517	0.100775	100.0	0.306538	100.0	0.103097	26.7628	100.0	0.610982	83.2739	54.8129	9.34112	8765.27
13500.0	99.6762	0.536346	1.42437	0.296785	0.1	38.9629	0.278057	0.1	0.1	94.9676	0.101425	100.0	0.296446	99.9834	0.154381	52.0145	100.0	0.597046	96.0507	63.4895	10.7115	8865.13
15000.0	100.0	0.117274	1.79513	0.208233	0.1	35.4889	0.100506	0.1	0.14188	99.9998	0.10291	100.0	0.212101	100.0	0.186387	91.7791	100.0	1.41016	94.5286	21.8463	3.59257	12766.4
