(MAPKKK_inactivation).KK2	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.008	100.0	0.13046	0.6727	0.145614	0.1	0.103044	0.1	0.1	21.0714	0.100003	88.2226	84.5925	0.4076	100.0	0.100362	100.0	100.0	1.47375	48.8145	3.24525	2.24269	3593.59
800.007	12.3151	0.120219	0.651591	0.161934	0.1	0.461331	0.131452	0.106614	11.318	0.126786	26.737	0.969797	0.461851	0.827027	0.188212	80.6171	100.0	4.19947	53.5317	5.85971	12.2285	5085.2
1600.01	63.154	0.116766	0.920324	0.107135	0.1	0.47306	0.198597	0.1	16.5449	0.280735	5.12585	3.70438	0.505634	0.275357	0.258766	99.4406	100.0	3.85958	29.4162	4.88363	6.6654	8483.55
2400.01	36.3982	0.10436	0.960352	0.1	0.1	0.513134	0.193141	0.133733	23.4684	0.261162	2.46469	3.66204	0.381178	0.258555	0.289238	94.8736	100.0	4.3884	26.4909	4.16002	11.6227	9419.59
3200.0	90.4691	0.115741	0.890542	0.114772	0.1	0.44949	0.221523	0.108961	33.3386	0.236715	3.69884	7.18238	0.34158	0.879506	0.145904	89.7511	100.0	4.056	28.8472	3.98672	9.91596	10683.8
4000.0	49.2865	0.173461	0.962959	0.101149	0.1	0.461343	0.205341	0.127158	43.7931	0.229175	1.64595	23.6833	0.383313	0.1	0.241963	100.0	100.0	3.70192	25.5479	4.35429	11.9237	11181.7
4800.0	51.4241	0.142688	0.782874	0.152275	0.1	0.362225	0.183353	0.144514	37.8086	0.202781	3.86613	56.893	0.386749	0.1	0.272309	100.0	97.9251	2.85975	34.7406	4.00901	5.25123	11970.1
5600.0	56.3649	0.100055	0.745734	0.103682	0.1	0.36643	0.198132	0.167173	44.3806	0.211242	3.86485	67.4876	0.393997	0.1	0.195597	99.9962	100.0	3.18816	25.0533	4.35151	9.17776	11961.0
6400.0	87.8221	0.102058	1.00337	0.173909	0.1	0.348527	0.194669	0.180543	38.1174	0.2892	0.740486	94.4748	0.322044	0.1	0.139809	80.0667	99.9245	2.57013	31.1159	2.97564	4.75081	12335.3
7200.0	95.232	0.120715	0.762383	0.10911	0.1	0.375201	0.199868	0.181641	40.7599	0.294662	1.85953	86.5052	0.367279	0.117758	0.166695	99.6992	99.1373	2.82088	25.6361	3.22962	5.70025	12187.6
8000.0	63.8503	0.100125	0.892276	0.100464	0.1	0.434019	0.219371	0.155538	49.5401	0.251641	1.63316	49.9071	0.363406	0.1	0.14062	99.8323	100.0	3.47409	25.0586	4.25802	10.7675	12022.1
