(dephosphorylation_of_MAPKK-PP).KK5	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	99.3587	0.167409	0.460217	0.1	0.1	19.8908	0.216754	0.1	0.101279	0.114488	100.0	99.203	0.477539	100.0	0.11477	99.9987	100.0	1.15956	26.7781	4.10309	1.77673	4133.74
1500.01	99.9987	0.103535	0.801212	0.40734	0.1	8.0447	0.100293	0.1	0.1	0.109618	0.1	76.4597	0.391767	99.9987	0.126513	15.4925	100.0	11.9607	97.0128	1.02266	4.99008	4484.41
3000.01	99.9923	0.110816	1.19187	0.302677	0.1	0.1	0.103637	0.1	0.1	0.106598	0.1	100.0	0.316891	97.7972	0.10319	35.1429	100.0	8.01449	87.2358	0.361414	2.44236	6300.23
4500.01	91.1655	0.266913	1.3716	0.158515	0.1	0.1	0.263701	0.1	0.1	0.110524	95.3742	100.0	0.486967	99.9872	0.110893	58.1098	100.0	8.25558	52.3305	0.735454	0.417997	8629.21
6000.01	99.6518	0.104166	1.27041	0.310363	0.1	0.1	0.105085	0.1	0.1	0.1	36.5408	100.0	0.291403	100.0	0.109919	46.8305	100.0	12.7272	92.7933	0.506363	2.2484	7353.31
7500.01	49.8689	0.113482	0.570918	0.288652	0.1	94.396	0.327757	0.1	0.1	0.109688	100.0	100.0	0.429019	99.5917	0.10582	5.74283	100.0	52.2511	56.6526	5.3852	2.61534	5949.7
9000.01	30.1671	0.492776	0.667096	0.151421	0.1	1.53292	0.800859	0.1	0.1	0.593596	100.0	100.0	1.77792	6.44264	0.100978	2.31886	100.0	47.7777	26.1735	5.2243	0.107328	6652.22
10500.0	6.69327	1.82006	0.790104	0.295012	0.1	99.5685	0.362598	0.101697	0.1	0.468119	100.0	100.0	0.453887	99.7312	0.382198	48.0401	100.0	65.05	96.3707	10.5418	2.02013	7626.22
12000.0	99.9027	0.33311	1.28565	0.246565	0.1	0.118106	0.893588	0.1	0.1	0.429039	61.9334	100.0	1.75012	99.575	0.100015	8.86601	100.0	50.1627	52.3128	1.42464	0.1	5851.15
13500.0	0.10128	1.67892	0.631827	0.337982	0.100014	99.9781	0.788732	0.100084	0.1	0.354477	100.0	100.0	0.563172	100.0	0.503378	4.53324	99.991	70.4692	68.7313	9.88093	0.988983	8442.38
15000.0	0.10128	0.535727	0.753864	0.128821	0.1	2.36571	0.96902	0.1	0.1	0.24811	99.9591	100.0	1.66497	76.7556	0.100286	79.9246	100.0	22.174	41.5342	4.2227	0.1	15128.2
