(dephosphorylation of MAPK-P).KK10	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.0277573	1888.64
0.0318696	1891.66
0.0365912	1892.53
0.0420124	1892.61
0.0482367	1892.13
0.0553831	1893.37
0.0635883	1895.01
0.0730091	1891.38
0.0838257	1891.91
0.0962448	1890.19
0.110504	1891.72
0.126875	1887.75
0.145672	1887.86
0.167254	1887.68
0.192034	1888.99
0.220484	1887.78
0.25315	1892.91
0.290655	1892.85
0.333716	1891.36
0.383157	1951.13
0.439924	1909.85
0.5051	1887.48
0.579932	1887.24
0.665851	1887.33
0.7645	1887.22
0.877763	1885.31
1.00781	1886.43
1.15712	1886.74
1.32855	1884.25
1.52538	1883.25
1.75137	1882.87
2.01084	1881.47
2.30875	1887.6
2.6508	1881.58
3.04353	1880.16
3.49444	1879.98
4.01215	1878.95
4.60657	1877.01
5.28904	1879.57
6.07264	1876.32
6.97232	1873.03
8.00529	1875.15
9.19131	1874.68
10.553	1917.76
12.1165	1870.82
13.9116	1869.74
15.9727	1868.29
18.3391	1867.61
21.0561	1867.15
24.1756	1868.2
27.7573	1866.52
31.8696	1866.74
36.5912	1866.47
42.0124	1867.3
48.2367	1868
55.3831	1868.66
63.5883	1871.44
73.0091	1874.59
83.8257	1877.79
96.2448	1900.33
110.504	1922.27
126.875	1948.9
145.672	1909.24
167.254	1939.18
192.034	1939.88
220.484	2004.97
253.15	2007.99
290.655	2014.14
333.716	2012.43
383.157	2057.43
439.924	2043.63
505.1	2155.89
579.932	2136.65
665.851	2193.43
764.5	2203.12
877.763	2274.65
1007.81	2290.29
1157.12	2052.23
1328.55	2266.6
1525.38	2229.55
1751.37	2245.47
2010.84	2059.75
2308.75	2299.02
2650.8	2299.2
3043.53	2303.09
3494.44	2313.02
4012.15	2314.96
4606.57	2319.77
5289.04	2322.33
6072.64	2325.52
6972.32	2326.33
8005.29	2316.89
9191.31	2331.32
10553	2331.94
12116.5	2334.26
13911.6	2334.72
15972.7	2315.92
18339.1	2335.27
21056.1	2329.41
24175.6	2351.6
27757.3	2336.65
