(MAPKKK inactivation).KK2	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.106079	2452.36
0.121795	2466.07
0.139839	2453.89
0.160557	2443.02
0.184344	2526.52
0.211655	2727.84
0.243013	2673.46
0.279016	2464.01
0.320353	3074.31
0.367815	2411.39
0.422308	2462.35
0.484875	2412.62
0.556711	2431.21
0.639189	2461.66
0.733887	2574.38
0.842615	2531.96
0.967452	2337.86
1.11078	2330.22
1.27535	2328.31
1.4643	2313.26
1.68124	2323.06
1.93032	2297.41
2.2163	2291.88
2.54466	2635.62
2.92166	2266.07
3.35451	3081.92
3.8515	2247.45
4.42211	2315.05
5.07726	2243.58
5.82947	2247.76
6.69313	2194.83
7.68474	2258.64
8.82327	2552.09
10.1305	2191.82
11.6313	2162.11
13.3546	2150.05
15.3331	2096.61
17.6047	2060.61
20.2129	2031.56
23.2076	2012.18
26.6458	1982.66
30.5935	1960.62
35.1261	1948.78
40.3301	1924.65
46.3052	1910.17
53.1654	1885.86
61.0421	1878.35
70.0857	1872.85
80.4692	1872.84
92.3909	1867.49
106.079	1866.36
121.795	1867.06
139.839	1868.44
160.557	1870.38
184.344	1871.81
211.655	1876.92
243.013	1878.83
279.016	1881.76
320.353	2001.15
367.815	1918.59
422.308	1896.98
484.875	1895.37
556.711	1895.49
639.189	1897.66
733.887	1899.84
842.615	3817.14
967.452	1904.33
1110.78	6071.73
1275.35	5149.6
1464.3	2108.86
1681.24	10651.5
1930.32	8063.53
2216.3	7458.78
2544.66	6230.8
2921.66	7217.67
3354.51	12748.3
3851.5	10148.7
4422.11	10456.5
5077.26	13789
5829.47	8076.91
6693.13	12785.8
7684.74	14722.2
8823.27	15265.7
10130.5	15575.5
11631.3	15861.9
13354.6	30538.5
15333.1	22936.2
17604.7	16488.7
20212.9	16177.3
23207.6	16545.9
26645.8	16924.3
30593.5	16887.8
35126.1	16934.9
40330.1	17013.1
46305.2	17077.3
53165.4	17161
61042.1	17208.5
70085.7	17208.4
80469.2	17232.6
92390.9	17262.5
106079	17293.4
