(phosphorylation of MAPKK-P).k4	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.022253	1852.35
0.0255499	24038.1
0.0293352	30016
0.0336813	31753.8
0.0386713	35016.9
0.0444006	7554.39
0.0509787	2237.63
0.0585314	19248.9
0.067203	29119.4
0.0771594	18340.9
0.0885908	27876.1
0.101716	2206.87
0.116785	2369.9
0.134088	1971
0.153953	3240.49
0.176762	6862.45
0.20295	1979.13
0.233018	1963.63
0.26754	3348.61
0.307177	2412.5
0.352686	1909.84
0.404938	1921.66
0.464931	1922.19
0.533812	1914.96
0.612899	1871.57
0.703702	1897.84
0.807958	1901.82
0.927659	1876.95
1.0651	2151.26
1.22289	1891.55
1.40407	1921.19
1.61209	1948.42
1.85092	2043.08
2.12515	1877.2
2.43999	1870.05
2.80149	1871.6
3.21654	1875.54
3.69308	1877.76
4.24022	1948.69
4.86843	1868.01
5.5897	1874.76
6.41784	1867.84
7.36866	1864.32
8.46035	1865.6
9.71379	1865.9
11.1529	1867.55
12.8053	1870.15
14.7024	1867.05
16.8806	1866.81
19.3816	1870.25
22.253	1866.46
25.5499	1866.92
29.3352	1866.61
33.6813	1866.47
38.6713	1867.63
44.4006	1870.32
50.9787	1865.64
58.5314	1869.35
67.203	1873.07
77.1594	1872.36
88.5908	2212.41
101.716	1985.02
116.785	2574.51
134.088	1865.87
153.953	3093.57
176.762	3190.33
202.95	2815.94
233.018	3655.75
267.54	3612.43
307.177	3787.03
352.686	3752.38
404.938	3696.8
464.931	4033.07
533.812	4142.06
612.899	4104.03
703.702	4238.02
807.958	4495.59
927.659	4287.54
1065.1	4599.01
1222.89	4587.15
1404.07	5220.51
1612.09	4775.81
1850.92	4829.13
2125.15	4881.64
2439.99	4969.94
2801.49	5198.03
3216.54	5105.41
3693.08	5099.58
4240.22	5184.88
4868.43	5042.12
5589.7	5858.93
6417.84	5140.25
7368.66	6257.47
8460.35	4990.85
9713.79	8011.25
11152.9	7625.7
12805.3	5781.4
14702.4	6754.41
16880.6	5384.52
19381.6	8540.68
22253	6729.87
