(MAPKKK inactivation).V2	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.000531985	17292.8
0.000610801	18193.1
0.000701293	17255.5
0.000805192	17223.2
0.000924484	17200.1
0.00106145	17170.3
0.00121871	17126.8
0.00139926	17057.1
0.00160657	48375.6
0.00184459	16915.9
0.00211787	16922.8
0.00243164	16743.5
0.0027919	16660.1
0.00320553	16537.7
0.00368044	16373.2
0.00422571	16235.4
0.00485176	16054.1
0.00557057	15852.9
0.00639587	15648.1
0.00734344	15364.3
0.00843139	15751.6
0.00968054	14734.7
0.0111147	14355.7
0.0127614	18783.8
0.0146521	13527
0.0168228	12916
0.0193152	47716.3
0.0221768	11659.8
0.0254624	10929.4
0.0292348	10145.9
0.033566	9266.17
0.0385389	8395.6
0.0442486	7426.62
0.0508042	6451.37
0.058331	5500.07
0.0669729	4627.77
0.0768952	3897.13
0.0882875	3274.06
0.101368	2812.29
0.116386	2515.99
0.133629	2340.6
0.153426	2196.89
0.176157	2094.77
0.202255	2011.87
0.23222	1961.29
0.266624	1923.84
0.306125	1898.42
0.351479	1882.88
0.403552	1873.8
0.46334	1869.08
0.531985	1865.47
0.610801	1867.24
0.701293	1867.26
0.805192	1872.78
0.924484	1881.38
1.06145	1878.32
1.21871	1884.1
1.39926	1884.41
1.60657	1937.32
1.84459	1903.64
2.11787	1941.12
2.43164	1958.07
2.7919	1913.82
3.20553	4882.71
3.68044	2132
4.22571	5988.91
4.85176	2665.16
5.57057	2339.52
6.39587	11084.6
7.34344	6031.3
8.43139	3054.06
9.68054	3242.26
11.1147	4238.67
12.7614	22785.5
14.6521	4388.04
16.8228	11971.9
19.3152	18782
22.1768	19901.7
25.4624	21950.3
29.2348	27600.2
33.566	29860.3
38.5389	35721.8
44.2486	33317.6
50.8042	35661
58.331	35065.3
66.9729	34893.4
76.8952	29169.6
88.2875	36040.9
101.368	35263.8
116.386	36591.5
133.629	35451.2
153.426	36004.9
176.157	36943.6
202.255	39502.2
232.22	36321.1
266.624	37485.7
306.125	37558.4
351.479	37640.7
403.552	37710.1
463.34	41713.4
531.985	38070.9
