(phosphorylation of MAPKK).KK3	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
637.973	15338.8
732.491	16531.3
841.012	11835.9
965.611	10986.1
1108.67	15533.1
1272.92	12071
1461.51	10369.9
1678.04	10200.7
1926.65	10347.9
2212.09	10163.9
2539.82	9970.12
2916.1	10359.9
3348.13	10418.1
3844.17	10862
4413.69	11298.9
5067.6	11064.6
5818.38	11096.6
6680.4	11571.7
7670.12	10944
8806.48	11731
10111.2	10833.1
11609.2	12004.5
13329.1	11088.7
15303.9	10460.6
17571.2	12871.1
20174.5	9419.31
23163.4	10872.3
26595.1	9565.53
30535.3	11693.1
35059.2	11499
40253.4	11463.6
46217.1	11132.3
53064.3	11511.8
60925.9	9047.95
69952.3	8701.32
80316	8495.35
92215.2	8103.36
105877	7840.38
121563	7080.75
139573	6766.81
160252	6260.35
183993	5940.72
211253	5142.29
242551	4766.37
278485	3931.67
319744	3558.24
367115	3031.49
421505	2490.53
483952	2162.15
555651	1946.39
637973	1864.66
732491	1953.51
841012	2248.86
965611	2781.3
1.10867e+06	3574.08
1.27292e+06	4625.09
1.46151e+06	5926.25
1.67804e+06	7445.24
1.92665e+06	9201.06
2.21209e+06	11077
2.53982e+06	13066
2.9161e+06	15405.3
3.34813e+06	18208.6
3.84417e+06	21464.8
4.41369e+06	25163.2
5.0676e+06	30728.2
5.81838e+06	35666.1
6.6804e+06	39017.1
7.67012e+06	45409.8
8.80648e+06	49838.9
1.01112e+07	53963.8
1.16092e+07	58065.2
1.33291e+07	66273.3
1.53039e+07	66833.7
1.75712e+07	70012.6
2.01745e+07	75415.5
2.31634e+07	78301.2
2.65951e+07	82324.9
3.05353e+07	86361.6
3.50592e+07	86262.5
4.02534e+07	85502.3
4.62171e+07	95526.1
5.30643e+07	87898.2
6.09259e+07	94092.9
6.99523e+07	95958.6
8.0316e+07	95823.1
9.22152e+07	94847.7
1.05877e+08	101048
1.21563e+08	107449
1.39573e+08	98558.7
1.60252e+08	108895
1.83993e+08	101970
2.11253e+08	113903
2.42551e+08	106594
2.78485e+08	103501
3.19744e+08	101498
3.67115e+08	102076
4.21505e+08	111106
4.83952e+08	111994
5.55651e+08	112617
6.37973e+08	110577
