(MAPKKK activation).n	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00405095	19637
0.00465111	24641.6
0.00534019	19299.5
0.00613136	19210.9
0.00703974	19625.7
0.00808271	19367.5
0.00928019	19321.9
0.0106551	19300
0.0122337	19218.8
0.0140461	20591.8
0.0161271	19348.2
0.0185164	19326.1
0.0212597	19979.7
0.0244094	20881.8
0.0280257	21376
0.0321778	19008.8
0.0369451	19121.7
0.0424187	21514.8
0.0487031	18506.4
0.0559187	20927.4
0.0642032	18723
0.0737152	18537.9
0.0846363	22252.2
0.0971755	19584
0.111572	19255
0.128102	17959
0.147081	17400.2
0.168872	17085.7
0.193891	16646.9
0.222616	14521.2
0.255598	13219.6
0.293465	11864.1
0.336943	10541.6
0.386863	10976.4
0.444178	7886.9
0.509984	6942.88
0.58554	5594.4
0.67229	7871.95
0.771893	3852.56
0.886251	3135.26
1.01755	2723.11
1.16831	2388.69
1.3414	2137.72
1.54013	2022.32
1.7683	1938.4
2.03028	1891.4
2.33108	1873.93
2.67644	1865.45
3.07296	1868.56
3.52823	1866.83
4.05095	1866.09
4.65111	1866.84
5.34019	1867.42
6.13136	1868.15
7.03974	1868.72
8.08271	1869.63
9.28019	1868.97
10.6551	1871.16
12.2337	1869.85
14.0461	1869.87
16.1271	1870
18.5164	1870.03
21.2597	1870.14
24.4094	1870.18
28.0257	1870.18
32.1778	1870.2
36.9451	1870.68
42.4187	1870.95
48.7031	1870.86
55.9187	1870.93
64.2032	1870.98
73.7152	1870.88
84.6363	1870.96
97.1755	1870.97
111.572	1870.93
128.102	1870.95
147.081	1870.93
168.872	1870.89
193.891	1870.31
222.616	1870.18
255.598	1870.1
293.465	1870.36
336.943	1870.16
386.863	1870.1
444.178	1870.33
509.984	1870.1
585.54	1870.1
672.29	1870.1
771.893	1870.19
886.251	1870.1
1017.55	1870.37
1168.31	1870.17
1341.4	1870.16
1540.13	1870.1
1768.3	1870.37
2030.28	1870.18
2331.08	1870.09
2676.44	1870.23
3072.96	1870.12
3528.23	1870.11
4050.95	1870.1
