(dephosphorylation of MAPKK-PP).KK5	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
33.0886	5285.49
37.9908	5363.73
43.6193	5095.27
50.0816	168732
57.5014	4975.79
66.0204	5041.87
75.8016	9333.65
87.0319	7072.48
99.926	5435.73
114.73	5354.3
131.728	5336.21
151.244	5556.14
173.651	5000.02
199.379	4923.35
228.917	5470.3
262.832	4891.92
301.772	5029.93
346.48	5026.43
397.812	4971.51
456.75	5585
524.419	4883.78
602.114	4943.67
691.319	4924.64
793.74	5128.29
911.336	4865.46
1046.35	4798.66
1201.37	4786.79
1379.36	4726.37
1583.72	4660.56
1818.35	4644.13
2087.75	4574.3
2397.06	4546.72
2752.19	4461.99
3159.94	4379.83
3628.09	4297.31
4165.61	4315.19
4782.76	4132.13
5491.34	3987.96
6304.9	3859.54
7239	3706.71
8311.48	3522.84
9542.86	3344.98
10956.7	3151.8
12579.9	2943.28
14443.7	2732
16583.6	2523.76
19040.5	2322.68
21861.4	2143.7
25100.3	1998.85
28819	1903.74
33088.6	1864.35
37990.8	1905.62
43619.3	2031.56
50081.6	2233.06
57501.4	2533.37
66020.4	2915.95
75801.6	3371.83
87031.9	3882.67
99926	4439.48
114730	5010.88
131728	5582.49
151244	6129.94
173651	6664.54
199379	7169.09
228917	7670.24
262832	8144.45
301772	8588.01
346480	8999.11
397812	9376.83
456750	9726.39
524419	10032.8
602114	10317.3
691319	10561.8
793740	10812
911336	10981.2
1.04635e+06	11202.1
1.20137e+06	11301
1.37936e+06	11454.7
1.58372e+06	11804.9
1.81835e+06	11699.2
2.08775e+06	11775.1
2.39706e+06	11938.2
2.75219e+06	11925.8
3.15994e+06	11993.1
3.62809e+06	12048.8
4.16561e+06	12105.9
4.78276e+06	12129.7
5.49134e+06	12160.1
6.3049e+06	12353.9
7.239e+06	12289.7
8.31148e+06	12279.8
9.54286e+06	12375.6
1.09567e+07	12298.7
1.25799e+07	12850.1
1.44437e+07	12318.1
1.65836e+07	12353.8
1.90405e+07	12383.5
2.18614e+07	12498.2
2.51003e+07	12364.6
2.8819e+07	12389.2
3.30886e+07	12379.1
