(dephosphorylation of MAPK-PP).V9	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
3.74731e-06	1866.96
4.30249e-06	1866.97
4.93992e-06	1866.94
5.67178e-06	1866.99
6.51208e-06	1866.77
7.47687e-06	1866.97
8.58459e-06	1866.83
9.85643e-06	1866.96
1.13167e-05	1866.89
1.29933e-05	1866.98
1.49183e-05	1866.97
1.71285e-05	1866.83
1.96662e-05	1866.91
2.25798e-05	1866.99
2.59251e-05	1866.85
2.97659e-05	1866.97
3.41759e-05	1866.96
3.92392e-05	1866.82
4.50526e-05	1866.97
5.17273e-05	1866.98
5.93909e-05	1866.97
6.81898e-05	1866.96
7.82924e-05	1866.96
8.98917e-05	1866.97
0.000103209	1866.95
0.0001185	1866.97
0.000136057	1866.95
0.000156214	1866.96
0.000179358	1866.95
0.00020593	1866.95
0.000236439	1866.95
0.000271469	1866.96
0.000311688	1865.34
0.000357865	1866.91
0.000410884	1866.93
0.000471758	1866.88
0.000541651	1866.87
0.000621899	1866.84
0.000714035	1866.82
0.000819822	1866.83
0.000941282	1866.81
0.00108074	1866.77
0.00124085	1866.74
0.00142469	1866.71
0.00163576	1866.68
0.0018781	1866.68
0.00215635	1866.63
0.00247582	1866.59
0.00284263	1866.22
0.00326377	1866.4
0.00374731	1865.19
0.00430249	1864.73
0.00493992	1866.54
0.00567178	1866.52
0.00651208	1866.67
0.00747687	1866.83
0.00858459	1867.07
0.00985643	1867.44
0.0113167	1867.88
0.0129933	1868.59
0.0149183	1869.93
0.0171285	1870.74
0.0196662	1872.98
0.0225798	1874.98
0.0259251	1879.06
0.0297659	1883.82
0.0341759	1888.31
0.0392392	1896.28
0.0450526	1903.84
0.0517273	1920.58
0.0593909	1939.45
0.0681898	1962.46
0.0782924	1990.91
0.0898917	2031.36
0.103209	2078.76
0.1185	2129.66
0.136057	2204.79
0.156214	2287.46
0.179358	2413.11
0.20593	2582.95
0.236439	inf
0.271469	inf
0.311688	inf
0.357865	inf
0.410884	inf
0.471758	inf
0.541651	inf
0.621899	inf
0.714035	inf
0.819822	inf
0.941282	inf
1.08074	inf
1.24085	inf
1.42469	inf
1.63576	inf
1.8781	inf
2.15635	inf
2.47582	inf
2.84263	inf
3.26377	inf
3.74731	inf
