(dephosphorylation of MAPK-PP).KK9	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
1.01254e-09	1864.98
1.16255e-09	1865.52
1.33479e-09	1866.36
1.53254e-09	1866.52
1.75959e-09	1866.15
2.02028e-09	1866.52
2.3196e-09	1865.8
2.66325e-09	1864.83
3.05782e-09	1864.48
3.51085e-09	1865.5
4.03099e-09	1865.43
4.6282e-09	1864.42
5.31389e-09	1866.52
6.10116e-09	1865.12
7.00507e-09	1865.61
8.04289e-09	1864.39
9.23447e-09	1864.32
1.06026e-08	1866.52
1.21734e-08	1865.29
1.39769e-08	1865.57
1.60477e-08	1865.77
1.84252e-08	1865.13
2.1155e-08	1865.93
2.42891e-08	1865.29
2.78877e-08	1865.1
3.20193e-08	1865.23
3.67631e-08	1864.94
4.22097e-08	1864.67
4.84632e-08	1865.97
5.56432e-08	1864.37
6.3887e-08	1865.5
7.3352e-08	1865.64
8.42194e-08	1866.19
9.66968e-08	1865.24
1.11023e-07	1864.96
1.27471e-07	1865.22
1.46357e-07	1865.13
1.6804e-07	1864.3
1.92936e-07	1865.88
2.2152e-07	1864.78
2.54339e-07	1865.47
2.9202e-07	1865.43
3.35284e-07	1865.94
3.84957e-07	1866.52
4.4199e-07	1864.9
5.07472e-07	1865.1
5.82656e-07	1866.16
6.68979e-07	1864.33
7.6809e-07	1865.18
8.81885e-07	1866.02
1.01254e-06	1865.79
1.16255e-06	1865.01
1.33479e-06	1866.52
1.53254e-06	1864.77
1.75959e-06	1866.41
2.02028e-06	1865.52
2.3196e-06	1865.27
2.66325e-06	1865
3.05782e-06	1865.44
3.51085e-06	1864.81
4.03099e-06	1864.39
4.6282e-06	1866.51
5.31389e-06	1866.36
6.10116e-06	1866.43
7.00507e-06	1865.05
8.04289e-06	1865.49
9.23447e-06	1864.14
1.06026e-05	1865.42
1.21734e-05	1864.93
1.39769e-05	1866.38
1.60477e-05	1866.47
1.84252e-05	1865.16
2.1155e-05	1864.6
2.42891e-05	1864.69
2.78877e-05	1865.27
3.20193e-05	1866.51
3.67631e-05	1865.91
4.22097e-05	1864.32
4.84632e-05	1864.29
5.56432e-05	1865.3
6.3887e-05	1865.37
7.3352e-05	1866.28
8.42194e-05	1865.36
9.66968e-05	1866.52
0.000111023	1865.46
0.000127471	1866.18
0.000146357	1864.37
0.00016804	1866.21
0.000192936	1866.33
0.00022152	1866.08
0.000254339	1865.24
0.00029202	1864.81
0.000335284	1866.05
0.000384957	1866.52
0.00044199	1866.52
0.000507472	1866.52
0.000582656	1864.83
0.000668979	1864.46
0.00076809	1865.37
0.000881885	1865.71
0.00101254	1864.76
