[Mek1-PP]_0	[Erk2]_0	[Mos]_0	[Erk2-P]_0	[Erk2-PP]_0	[Mos-P]_0	[Mek1]_0	[Mek1-P]_0	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
10	280	90	10	10	10	280	10	5.19134	1.05255	0.0167335	0.0195953	0.717704	321.997	1.63189	0.023715	0.115685	0.0211361	19383.1	15.4457	207.092	4617.48	0.00265501	0.278543	710.191	2626.73	0.726232	1.32971e-006	0.846124	1	158.392
10	280	90	10	10	10	280	10	5.19134	1.05255	0.0200802	0.0195953	0.717704	321.997	1.63189	0.023715	0.115685	0.0253634	15506.5	15.4457	207.092	4617.48	0.00265501	0.334252	852.23	2626.73	0.726232	1.06377e-006	0.676899	1	158.142
10	280	90	10	10	10	280	10	5.19134	1.05255	0.0267736	0.0195953	0.717704	321.997	1.63189	0.023715	0.115685	0.0338178	11629.9	15.4457	207.092	4617.48	0.00265501	0.334252	1136.31	2626.73	0.726232	1e-006	1.01535	1	157.74
10	280	90	10	10	10	280	10	5.19134	1.05255	0.0368137	0.0195953	0.717704	321.997	1.63189	0.023715	0.115685	0.0464995	11629.9	15.4457	207.092	4617.48	0.00265501	0.334252	1562.42	2626.73	0.726232	1e-006	1.01535	1	157.266
10	280	90	10	10	10	280	10	5.19134	1.05255	0.0502005	0.0195953	0.717704	321.997	1.63189	0.023715	0.115685	0.0634084	15506.5	15.4457	207.092	4617.48	0.00265501	0.334252	2130.57	2626.73	0.726232	1e-006	1.01535	1	156.799
10	280	90	10	10	10	280	10	5.19134	1.05255	0.066934	0.0195953	0.717704	321.997	1.63189	0.023715	0.115685	0.0845446	23259.7	15.4457	207.092	4617.48	0.00265501	0.334252	2840.77	2626.73	0.726232	1e-006	1.01535	1	156.416
10	280	90	10	10	10	280	10	5.19134	1.05255	0.0870141	0.0195953	0.717704	321.997	1.63189	0.023715	0.115685	0.109908	31012.9	15.4457	207.092	4617.48	0.00265501	0.334252	3692.99	2626.73	0.726232	1e-006	1.01535	1	156.183
10	280	90	10	10	10	280	10	5.19134	1.05255	0.110441	0.0195953	0.717704	321.997	1.63189	0.023715	0.115685	0.131044	38766.2	15.4457	207.092	4617.48	0.00265501	0.334252	4687.26	2626.73	0.726232	1e-006	1.01535	1	156.139
10	280	90	10	10	10	280	10	5.19134	1.05255	0.109772	0.0195953	0.717704	321.997	1.63189	0.023715	0.115685	0.130199	39541.5	15.4457	207.092	4617.48	0.00265501	0.345394	4715.67	2626.73	0.726232	1e-006	0.812279	1	156.138
10	280	90	10	10	10	280	10	5.19134	1.05255	0.109102	0.0195953	0.717704	321.997	1.63189	0.023715	0.115685	0.129353	40316.8	15.4457	207.092	4617.48	0.00265501	0.345394	4744.08	2626.73	0.726232	1e-006	0.879969	1	156.138
