(dephosphorylation_of_MAPKK-P).KK6	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	97.9383	0.20316	0.646809	0.128407	0.1	14.5262	0.100289	0.1	0.1	9.24179	7.09696	100	1.33403	0.263208	0.1	58.6543	100.0	1.09498	35.9039	1.15053	5.75962	2933.38
1500.01	99.1449	0.103427	0.780774	0.146789	0.1	0.19634	0.1	0.1	0.1	13.7026	12.9419	100	3.07487	0.260866	0.1	34.9776	100.0	0.537897	36.9282	9.52853	63.0189	5021.26
3000.01	62.8821	0.101388	0.984269	0.246459	0.1	0.1	0.1	0.1	0.1	34.1272	16.1704	100	5.18959	0.248817	0.1	41.7852	100.0	0.64853	84.9351	20.3862	99.7924	4899.54
4500.01	99.9556	0.247881	0.728147	0.416367	0.1	27.5699	0.367074	0.1	0.1	34.6271	10.4871	100	9.74456	0.132583	0.68519	8.5737	100.0	0.407607	96.8721	20.5589	97.6149	7513.35
6000.01	98.0153	0.10025	0.718545	0.443608	0.1	78.6393	0.256978	0.1	0.1	35.8101	11.4441	100	8.63973	0.185165	0.116484	8.46799	100.0	0.724613	98.5354	19.2084	99.9525	9097.31
7500.01	88.3499	0.103807	0.864912	0.204701	0.1	40.0869	0.122224	0.1	0.1	11.0737	13.2279	100	3.45908	0.1	0.103216	6.77308	100.0	0.827123	40.3478	6.21971	51.283	11767.3
9000.01	86.0047	0.1103	0.992997	0.199629	0.1	44.4725	0.12791	0.1	0.1	12.1709	15.5997	100	3.78365	0.100043	0.120706	6.78662	100.0	0.847631	39.3521	6.65313	56.5588	11772.6
10500.0	99.9049	0.844152	1.00717	0.512806	0.117527	36.6046	0.256676	0.1	0.1	73.9227	15.1268	100	23.6151	0.133733	0.103618	2.51572	72.0678	0.588389	94.0488	47.053	98.0005	6911.72
12000.0	98.643	0.101933	1.06475	0.285445	0.1	62.3132	0.169392	0.1	0.1	47.5589	29.421	100	8.85276	1.08736	0.1	42.5164	100.0	0.936532	98.0467	27.0031	99.3607	9937.73
13500.0	91.514	0.123521	0.854768	0.249774	0.1	50.9955	0.136801	0.1	0.1	11.9612	13.0931	100	3.58451	0.1	0.264842	6.83074	100.0	0.861629	51.3888	6.3342	47.9954	11870.5
15000.0	69.1206	0.154914	0.896681	0.232771	0.1	51.5312	0.141685	0.1	0.1	12.5548	13.9764	100	4.03238	0.100553	0.10004	6.61014	100.0	0.81422	48.3496	6.62175	32.3951	12345.4
