(phosphorylation_of_MAPK).k7	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
2.5e-05	30.5126	0.157011	0.170455	0.121706	46.5654	0.134801	0.1	0.1	0.525814	0.101184	0.101603	68.0675	1.61082	2.87157	0.1	100.0	3.87472	1.57089	0.1	2.18283	16.6656	46096.9
2.50002	100.0	0.236223	1.29328	0.1	10.2168	0.1	0.1	0.1	1.45143	32.1892	65.6445	100.0	3.82324	0.588237	20.4396	49.4144	100.0	1.10442	39.304	2.46359	72.7044	5396.07
5.00002	98.1475	0.114127	0.981297	0.1	39.9613	0.100017	0.1	0.1	0.102212	10.1034	0.1	97.0981	1.2361	0.1	5.68179	65.3536	100.0	1.06098	5.92592	1.3553	21.7279	5375.73
7.50002	99.9302	0.114419	1.15751	0.1	42.8886	0.101288	0.1	0.1	0.115886	14.6201	5.55329	92.7445	1.70558	0.10017	3.46032	58.0598	100.0	1.13395	11.2886	1.52971	34.779	5286.88
10.0	98.3486	0.121134	0.984677	0.1	42.0427	0.103267	0.1	0.1	0.1	15.8638	4.16216	98.2247	1.26318	0.464723	5.10183	62.823	100.0	1.08635	13.1796	1.49893	26.7578	5561.36
12.5	100.0	0.13228	1.23603	0.1	40.2223	0.101619	0.1	0.1	0.106859	13.9938	0.1	99.9877	1.41709	0.1	3.88167	46.8328	100.0	1.09455	17.8643	1.40756	29.2247	5304.25
15.0	99.6621	0.117746	0.988475	0.1	38.3927	0.100611	0.1	0.100006	0.1	20.4153	0.1	99.3796	0.938751	1.48779	3.05011	63.3503	100.0	1.09532	12.2027	1.40427	37.2434	5632.69
17.5	97.8704	0.108957	1.21676	0.1	38.8245	0.1	0.1	0.1	0.1	15.5764	2.71633	96.7143	1.74964	0.100566	3.19625	62.5522	100.0	1.08501	19.341	1.43036	34.6217	5305.08
20.0	98.8903	0.129791	0.673841	0.1	9.81799	0.100013	0.1	0.1	0.82118	21.4348	12.933	100.0	2.34092	2.26767	7.83696	0.1	100.0	1.05121	90.4677	1.39165	37.7228	5867.9
22.5	79.3576	0.114415	0.869939	0.1	8.79877	0.1	0.1	0.1	0.441828	26.7089	16.7551	100.0	2.54827	1.78566	8.83185	0.120968	100.0	1.07329	97.5586	1.55414	40.5672	5807.44
25.0	99.9176	0.16472	0.877524	0.1	38.2911	0.1009	0.1	0.1	0.218239	16.763	0.105611	99.9718	0.955181	1.40741	3.2287	22.3286	100.0	1.06725	43.8947	1.37552	42.8721	5690.45
