(dephosphorylation_of_MAPKK-PP).KK5	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	96.8901	0.103565	0.473364	0.136008	0.1	12.9173	0.104311	0.1	0.1	3.9756	2.23674	100	1.34407	0.1	0.100295	25.3812	100.0	1.02568	27.4234	1.20242	13.9595	3236.95
1500.01	99.985	0.116447	0.761518	0.252292	0.1	6.12908	0.1	0.1	0.1	8.89516	0.203271	100	3.04232	0.1	0.100088	9.43654	100.0	8.04218	55.2334	0.727493	26.8652	3561.36
3000.01	90.4622	0.290998	1.13017	0.136239	0.1	5.97557	0.1	0.1	0.1	25.9985	2.49862	100	2.67672	0.958861	0.1	30.2942	100.0	12.0063	38.1852	0.609397	28.6282	4214.87
4500.01	82.235	0.192838	0.167693	0.247233	0.139395	0.1	0.117956	0.1	0.1	0.1	10.195	100	0.614551	2.06733	0.102861	0.185183	97.4938	12.5983	41.4147	0.447165	4.80717	5900.19
6000.01	97.6669	0.112288	1.35481	0.263045	0.1	1.71819	0.1	0.1	0.1	31.3058	28.754	100	3.84245	0.74011	0.100049	18.2292	100.0	18.3447	69.7604	0.624627	38.2534	4505.56
7500.01	95.1756	0.153846	1.0658	0.289657	0.1	0.327677	0.1	0.1	0.1	18.3819	11.8778	100	4.70727	0.323651	0.10002	12.4711	100.0	20.232	69.5155	0.444277	43.793	4629.94
9000.01	93.3096	0.105684	1.27387	0.131661	0.1	1.9168	0.106116	0.1	0.1	38.1415	15.2476	100	2.8434	1.5609	0.100029	18.5966	100.0	14.579	27.1108	0.291406	47.2133	7140.84
10500.0	99.8418	0.221793	1.52755	0.108686	0.1	38.8217	0.239532	0.1	0.1	54.7605	47.9337	100	4.20507	1.87323	0.995146	17.0498	97.8867	29.9669	23.5023	0.796638	98.8427	5706.16
12000.0	9.29867	0.525466	2.7853	0.263531	0.130031	54.5502	0.165501	0.146378	0.1	45.6773	39.0716	100	3.03948	0.117898	0.538531	0.45422	60.8269	24.0231	42.6284	1.47317	28.5796	11739.5
13500.0	99.9229	0.129496	1.3591	0.232642	0.1	4.08065	0.1	0.1	0.1	0.1	0.188759	100	0.296647	4.98551	0.101809	28.9873	100.0	19.1174	57.3617	0.203156	45.791	9786.95
15000.0	99.4079	0.404115	1.60146	0.138301	0.1	17.1378	0.165536	0.1	0.1	0.1	13.3533	100	0.297164	6.52798	0.210388	53.3918	100.0	17.8024	41.5496	0.224406	19.737	11205.1
