(phosphorylation_of_MAPK-P).KK8	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	99.7594	0.100236	2.27572	0.130285	0.1	0.557503	0.100018	0.1	0.1	3.92544	0.1173	99.9974	74.1887	0.515201	100.0	0.143991	91.7173	1.46476	12.2478	4.12878	2.25329	8023.47
1500.01	97.5821	0.115067	0.1	0.100026	0.484509	6.06487	0.193104	0.1	0.1	50.1903	0.433528	0.1	98.0711	0.513184	89.3258	0.29689	100.0	1.45253	37.3317	1.13718	1.41135	3350.25
3000.01	99.0592	0.177341	0.1	0.150592	0.601258	12.7564	0.208939	0.1	0.1	35.1739	0.533016	80.4902	95.0761	0.730206	17.2737	0.455458	100.0	1.38556	64.4809	2.90414	0.783114	3940.08
4500.01	99.0016	0.108529	0.1	0.28912	0.64757	24.3423	0.130447	0.1	0.1	22.9677	0.391952	82.3386	100.0	1.41201	4.07923	0.978131	0.1	1.29268	2.73099	2.81981	12.118	2511.13
6000.01	99.7568	0.103479	0.143318	0.452901	0.759022	19.338	0.133134	0.1	0.1	25.0004	0.102802	98.1824	100.0	2.63929	0.1	0.941788	22.6479	1.18485	14.1922	2.61729	9.44088	2273.83
7500.01	82.2148	0.201443	0.115718	0.489961	0.977185	20.301	0.115358	0.1	0.102632	56.5396	0.12596	91.6813	90.275	1.54644	2.40393	2.14454	0.1	1.69189	8.12014	3.26726	7.19652	2916.37
9000.01	81.1831	0.120391	0.1	0.278606	0.902627	19.0029	0.128239	0.1	0.1	45.4102	0.480757	72.0424	99.9808	1.24722	4.78314	2.15349	0.1	1.39862	5.78374	2.55822	14.1806	3455.37
10500.0	14.9636	0.20731	0.1	0.141274	1.26504	48.6895	0.103802	0.1	0.234211	4.52469	0.196317	33.8458	100.0	0.526717	7.96933	3.18449	0.1	2.81875	1.57612	4.10491	24.9639	4858.29
12000.0	39.8783	0.205796	0.1	0.455442	1.15761	48.9727	0.138057	0.1	0.146744	52.034	0.750489	91.6557	96.4571	1.19282	4.30258	0.942745	0.1	2.25244	17.5844	4.65774	2.927	4530.37
13500.0	99.8835	0.117671	0.1	0.269471	1.25127	54.4966	0.180718	0.127975	0.34412	61.4193	0.889477	65.1584	100.0	1.84328	4.36866	3.97894	100.0	5.28477	68.4723	3.61682	18.5047	5167.01
15000.0	48.2839	0.286519	0.1	0.162559	1.15829	54.3101	0.208061	0.144434	0.322559	48.3273	1.25216	51.6531	100.0	1.53914	5.41041	0.1	100.0	3.97086	93.3741	3.75301	24.343	7089.09
