(dephosphorylation_of_MAPK-PP).KK9	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	100.0	0.103193	0.707119	0.100708	0.1	9.2485	0.11278	0.1	0.1	16.2786	100.0	94.1079	0.401514	100	0.393172	100.0	100	1.34098	29.5757	3.61848	2.96521	3515.66
1500.01	98.6778	0.127201	2.19246	0.190669	0.1	13.4786	0.106898	0.1	0.1	13.2046	99.9936	93.4505	0.387366	100	0.100171	15.7398	100	1.31735	31.7068	3.66083	4.24211	3821.82
3000.01	100.0	0.154222	5.15432	0.456808	0.1	18.2232	0.111886	0.1	0.1	16.222	99.6672	97.6449	0.388905	100	0.100025	23.289	100	1.31198	100.0	3.64797	6.93537	3790.69
4500.01	100.0	0.200137	5.38648	0.469327	0.1	18.2618	0.113271	0.1	0.1	17.8295	47.7888	96.269	0.38719	100	0.104313	18.8987	100	1.32648	98.8567	2.39481	6.11232	3793.28
6000.01	100.0	0.153277	5.24145	0.481186	0.1	21.486	0.121007	0.1	0.1	18.9297	57.5616	97.1969	0.389119	100	0.1001	15.4492	100	1.33182	97.1616	2.62614	6.69563	3809.09
7500.01	100.0	0.313722	6.57533	0.479036	0.1	22.6004	0.122926	0.1	0.1	15.5159	100.0	97.8177	0.393117	100	0.100226	18.5723	100	1.30473	99.8423	3.66065	6.9306	3808.71
9000.01	100.0	0.23894	5.63019	0.443739	0.1	20.7061	0.119161	0.1	0.1	18.3027	99.7056	95.917	0.390283	100	0.100035	15.59	100	1.33857	88.6165	3.61212	6.51663	3821.03
10500.0	100.0	0.264652	5.92174	0.485769	0.1	21.688	0.122509	0.1	0.1	16.6951	99.9974	97.7409	0.391947	100	0.1	15.4748	100	1.30906	97.3888	3.60857	6.56107	3823.74
12000.0	100.0	0.131444	1.88541	0.20771	0.1	13.6251	0.116629	0.1	0.1	22.4407	94.6944	95.3602	0.396756	100	0.102859	8.07659	100	1.36682	32.6807	3.389	3.57066	3895.89
13500.0	100.0	0.159595	1.87089	0.20649	0.1	14.2278	0.116568	0.1	0.1	21.9197	99.9706	94.1174	0.394999	100	0.101886	8.27498	100	1.37067	32.5316	3.51121	3.65598	3899.11
15000.0	100.0	0.102892	1.73193	0.192791	0.1	14.1969	0.116843	0.1	0.1	19.9744	97.5411	97.3825	0.396496	100	0.1	7.43661	100	1.33373	29.129	3.45536	3.80158	3904.5
