(dephosphorylation_of_MAPKK-P).KK6	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	99.241	0.10131	0.527081	0.105561	0.1	11.781	0.11538	0.1	0.1	16.772	0.10004	98.0481	0.406614	100.0	0.453758	100.0	100.0	1.28263	31.9944	1.26832	3.55898	3388.84
1500.01	94.6254	0.115811	1.06109	0.159899	0.1	4.10287	0.1	0.1	0.1	58.9316	0.10726	100.0	0.334339	100.0	0.391507	19.86	99.9987	0.967992	32.4261	15.0177	4.76671	5284.03
3000.01	99.1168	0.1	0.705813	0.221331	0.1	0.101327	0.100145	0.1	0.1	99.1125	0.113581	100.0	0.353998	100.0	0.112417	23.2292	100.0	1.14945	53.5532	27.6706	2.76208	5161.65
4500.01	82.28	0.147777	1.11922	0.122846	0.1	0.40106	0.1	0.1	0.1	79.9094	0.12517	100.0	0.290348	99.9987	0.382841	58.611	100.0	0.586466	39.334	22.3163	5.14884	8297.35
6000.01	99.9578	0.129945	1.31497	0.29157	0.1	2.53615	0.1	0.1	0.1	99.7231	0.100939	100.0	0.3075	100.0	0.149177	22.1819	80.9293	0.841128	69.7173	38.9048	8.85582	6519.71
7500.01	54.6927	0.206009	0.988861	0.270329	0.1	0.331228	0.101385	0.1	0.100291	99.57	0.100118	99.9795	0.306476	99.7632	0.194111	17.4651	100.0	0.823443	63.5573	49.3781	2.75853	7766.34
9000.01	97.4785	0.172549	1.1763	0.199838	0.1	27.6601	0.223232	0.1	0.1	98.6843	0.117705	100.0	0.308171	100.0	0.117613	83.2401	100.0	0.624204	93.2408	42.6695	7.77113	8805.61
10500.0	67.9046	0.182162	1.7676	0.16315	0.1	27.5711	0.1784	0.1	0.117878	99.8823	0.119723	100.0	0.198175	99.8707	0.247284	93.8011	86.1914	0.489638	62.7663	30.3855	5.21003	12268.4
12000.0	98.7495	0.173042	2.93012	0.312474	0.106666	0.1	0.128446	0.1	0.1	98.5475	0.136533	100.0	0.371779	100.0	1.59421	18.2525	55.3127	0.638122	35.1004	54.8352	1.71228	11692.6
13500.0	94.5383	0.100044	1.29644	0.285807	0.100003	2.18177	0.100015	0.1	0.1	99.9722	0.122022	100.0	0.287161	100.0	0.226763	37.4928	99.9168	0.678493	81.183	65.72	6.25861	7861.07
15000.0	87.5292	0.257638	1.3123	0.279708	0.1	0.1	0.127154	0.1	0.1	99.9842	0.138304	100.0	0.349594	99.9667	0.151328	47.9271	100.0	0.843912	93.8615	90.4045	1.88689	6995.53
