(dephosphorylation_of_MAPKK-P).V6	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(MAPKKK activation).n	RSS
0.00075	100.0	0.305576	4.791	0.416546	0.225838	30.0883	0.1	0.1	0.293718	100.0	0.497235	0.1	100.0	0.467721	13.1573	1.5346	0.1	98.2797	4.25475	57.7443	1.04579	17031.3
75.0007	0.10128	0.10107	0.289761	0.142553	0.100001	37.882	0.100015	0.526802	0.100004	5.58534	0.176306	100.0	99.9987	0.648916	1.56411	0.725633	72.6957	99.9731	1.38754	42.3548	0.975552	9144.8
150.001	1.09838	0.48099	0.487727	0.107546	0.1	98.2451	0.101881	1.46951	0.122356	11.7456	0.495221	98.3091	58.5823	0.280355	18.5058	0.193017	72.4999	100.0	2.11424	21.3092	3.5055	8284.13
225.001	0.1	0.139282	1.00791	0.110842	0.1	23.3375	0.180027	0.523052	0.1	38.2542	0.102891	100.0	100.0	0.996607	0.566382	0.893433	74.1703	100.0	0.743334	35.0404	9.39511	18960.4
300.0	0.1	0.382327	0.676679	0.1	0.1	51.157	0.818782	1.66765	0.1	0.280923	0.220201	100.0	100.0	1.49614	0.1	0.106038	84.1835	100.0	1.38342	25.168	0.145063	9537.08
375.0	0.1	0.285309	0.740628	0.112518	0.1	36.8383	0.230327	0.702649	0.1	13.2805	0.102181	99.9962	100.0	0.9736	42.151	0.100005	99.9155	100.0	0.580832	35.0982	5.77078	20257.0
450.0	0.1	0.51737	0.911734	0.110062	0.1	54.2764	0.175285	1.2828	0.1	5.23948	0.112427	100.0	100.0	1.0763	0.1	0.18733	99.7056	99.9386	0.847845	36.5996	11.9363	16783.8
525.0	0.1	0.49549	1.01089	0.106265	0.1	60.1855	0.302783	0.924342	0.1	13.7802	0.107294	100.0	100.0	1.07744	73.2386	0.141825	98.7354	100.0	0.548728	33.1061	5.05577	20594.7
600.0	0.1	0.255541	4.82106	0.563916	0.226461	22.4303	0.129305	0.998155	0.103796	13.0513	0.412368	100.0	67.2254	1.7572	0.183674	0.327187	3.61083	27.7672	0.741689	24.2029	14.0855	28628.4
675.0	0.1	0.599527	0.887276	0.108043	0.1	32.6057	0.239589	1.05581	0.101185	11.2578	0.1	100.0	83.0722	1.03405	17.7588	0.101349	99.7312	100.0	0.584683	31.5198	1.57703	21437.6
750.0	0.1	0.10024	0.849949	0.12828	0.1	16.1372	0.165866	0.350215	0.1	32.1371	0.206456	100.0	16.6354	1.10204	0.390388	0.41931	52.5273	100.0	0.578298	33.1391	7.65885	25724.9
