(phosphorylation_of_MAPK).KK7	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
0.015	100.0	0.122655	0.710544	0.101472	0.1	9.50783	0.1145	0.1	0.1	16.097	0.100032	100.0	94.3958	0.403193	100.0	100.0	100	1.33598	30.3548	3.61042	2.93849	3520.33
1500.01	92.0731	0.101613	0.815162	0.34222	0.1	6.11143	0.1	0.1	0.1	2.52617	0.100552	32.3878	80.125	0.361391	100.0	71.4529	100	1.38011	0.760278	2.44679	2.41378	4456.79
3000.01	84.1245	0.100925	0.80149	0.491007	0.1	15.8966	0.117144	0.1	0.1	0.488571	0.179672	91.8554	73.5487	0.337126	100.0	99.008	100	1.31633	0.1	4.00206	2.59427	4769.81
4500.01	98.9632	0.102712	0.816504	0.60649	0.1	21.5664	0.12314	0.1	0.100083	0.65157	0.142947	93.5731	86.6425	0.363107	99.8656	83.194	100	1.31593	0.1	4.16044	3.1996	4917.96
6000.01	97.1482	0.1	1.04007	0.661033	0.1	18.7782	0.110801	0.1	0.1	2.60286	0.311521	97.7715	99.8694	0.352646	100.0	47.4177	100	1.14928	0.157443	3.81525	4.48135	5212.88
7500.01	96.4225	0.1	0.839136	0.636439	0.1	9.22691	0.200055	0.1	0.1	24.2916	0.328368	0.1	100.0	0.494425	100.0	99.9936	100	1.35659	0.755153	1.34703	1.52786	5389.15
9000.01	99.8285	0.13933	0.672788	0.385034	0.1	12.1197	0.197888	0.1	0.1	32.6778	0.253618	100.0	92.5853	0.478536	100.0	100.0	100	1.42639	0.1	3.36352	1.81142	6673.83
10500.0	11.0789	0.103537	1.03652	0.781997	0.1	9.5474	0.14795	0.1	0.100913	21.962	0.586697	6.50624	42.025	0.42972	93.1087	100.0	100	2.17311	0.732251	2.60333	1.71591	6688.37
12000.0	88.7477	0.119491	0.755414	0.601502	0.1	20.2892	0.160052	0.1	0.1	40.3249	0.388197	0.1	100.0	0.429465	100.0	100.0	100	1.41554	0.1	1.24722	3.02114	6197.29
13500.0	98.5562	0.102542	0.61888	0.612816	0.1	10.3788	0.185732	0.1	0.1	38.2418	0.419095	98.6752	93.3379	0.484005	100.0	100.0	100	1.45968	0.1	3.21505	1.85696	6554.8
15000.0	68.2899	0.1	0.851867	0.793956	0.1	7.71458	0.201857	0.1	0.1	46.0638	0.486794	0.1	86.8025	0.501719	100.0	99.9706	100	1.62418	0.136794	1.43136	1.47404	6195.0
