Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
8.82265	189.083	5.28394e-06	4316.34	0.00129749	237984.0	906.415	7.05086	123748.0	9485.39	993.772	0.00282208	61.7899	1421.35	0.140821	0.228882	1.72579e-05	0.00030419	0.00354701	1.30323e-05	0.00161095	0.00144121	132837	2.06699e-06	188.391	0.0120995	4418.58	1.69185e-06	4.36078	1.15269	52552000000.0
7.05812	151.266	5.28394e-06	3453.07	0.00155699	190387.0	725.132	5.64069	148498.0	11382.5	1192.53	0.00338649	61.7899	1137.08	0.168985	0.183105	1.72579e-05	0.00030419	0.00354701	1.30323e-05	0.00128876	0.00115297	132837	2.06699e-06	188.391	0.0120995	4418.58	1.69185e-06	5.23293	1.38323	33623300000.0
3.52906	113.45	4.22715e-06	1726.54	0.00155699	95193.6	362.566	5.64069	197997.0	15176.6	1590.03	0.00451533	61.7899	568.541	0.225314	0.0915527	1.72579e-05	0.00030419	0.00354701	1.56387e-05	0.000966568	0.000576483	132837	2.06699e-06	150.713	0.0120995	5302.29	2.03022e-06	6.97724	1.61377	8393310000.0
1e-06	75.6332	3.17036e-06	1e-06	0.00155699	47596.8	1e-06	4.23052	247496.0	18970.8	1987.54	0.00564416	61.7899	1e-06	0.281642	1e-06	1.72579e-05	0.00030419	0.00354701	1.82452e-05	0.000644379	1e-06	132837	2.06699e-06	113.035	0.0120995	6186.01	2.36859e-06	8.72156	1.84431	2090770000.0
1e-06	37.8166	2.11358e-06	1e-06	0.00155699	47596.8	1e-06	1.41017	296996.0	22764.9	2385.05	0.00677299	61.7899	1e-06	0.33797	1e-06	1.72579e-05	0.00030419	0.00354701	2.08516e-05	0.000322189	1e-06	132837	2.06699e-06	75.3565	0.0120995	7069.72	2.70696e-06	10.4659	2.07485	2088290000.0
1.76453	37.8166	1e-06	1e-06	0.00181649	47596.8	1e-06	1.41017	346495.0	26559.1	2782.56	0.00790182	61.7899	1e-06	0.394299	1e-06	1.72579e-05	0.00030419	0.00354701	2.34581e-05	1e-06	1e-06	132837	2.06699e-06	37.6783	0.0120995	7953.44	3.04533e-06	12.2102	2.30538	2085830000.0
5.29359	75.6332	1e-06	1e-06	0.00233549	47596.8	1e-06	1.41017	420744.0	32250.3	3378.82	0.00903065	61.7899	1e-06	0.478791	0.0457773	1.72579e-05	0.000365028	0.00354701	2.34581e-05	1e-06	1e-06	132837	2.06699e-06	1e-06	0.0120995	8837.16	3.3837e-06	13.9545	2.53592	2082130000.0
7.05812	113.45	1e-06	1e-06	0.00311398	47596.8	1e-06	1.41017	519743.0	39838.6	4173.84	0.0101595	61.7899	1e-06	0.591448	0.0915537	1.72579e-05	0.000425865	0.00354701	2.34581e-05	1e-06	1e-06	132837	2.06699e-06	1e-06	0.00967961	8837.16	3.3837e-06	15.6988	2.76646	2077220000.0
7.05812	113.45	1e-06	1e-06	0.00415198	47596.8	1e-06	1.41017	643491.0	49324.0	4968.86	0.0118527	61.7899	1e-06	0.732269	0.13733	2.07094e-05	0.000486703	0.00283761	2.34581e-05	1e-06	1e-06	132837	2.06699e-06	1e-06	0.00725971	7953.44	3.04533e-06	18.3153	2.997	2071100000.0
5.29359	113.45	1e-06	1e-06	0.00544947	47596.8	1e-06	1.41017	791989.0	60706.5	5763.88	0.0141104	61.7899	1e-06	0.901254	0.183106	2.4161e-05	0.000547541	0.00212821	2.08516e-05	1e-06	1e-06	132837	2.06699e-06	1e-06	0.00483981	6186.01	2.36859e-06	21.8039	3.22754	2063780000.0
