[Mek1-PP]_0	[Erk2]_0	[Mos]_0	[Erk2-P]_0	[Erk2-PP]_0	[Mos-P]_0	[Mek1]_0	[Mek1-P]_0	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
1.0871e-06	1.3695e-06	7.5765e-05	1.65704e-06	12.3435	1.12132e-06	1.16507e-06	1.02497e-06	0.000179375	0.00370925	1.23393e-06	298091	1.03708e-06	1.25892e-06	1e-06	1.31489e-06	1.21842e-06	1.30484e-06	1497.26	0.00256561	1.14597e-06	2795.66	1e-06	8.50326e-05	1.52396e-06	1e-06	0.779781	1.19103e-06	0.000221915	614.045	0.021852
1.1954e-06	1.33394e-06	0.000149532	1.44578e-06	12.9089	3.12467e-05	1e-06	1e-06	2.41355e-06	1.08049e-06	1.84804e-05	1.16109e-06	1349.91	1.32401e-06	1731.18	1e-06	0.00838473	1.09482e-06	1494.41	63.3334	0.360577	4.06763e-05	3337.88	0.000260886	1.02921e-06	1.04375e-06	0.709173	3.3947e-05	11.1129	1.10952e-06	0.0166119
1.1596e-06	4.37778e-05	0.000148526	0.000195578	10.6591	1.25017e-06	1.50639e-06	2.15597e-05	0.0147933	1.02159e-06	1.14031e-06	0.395162	990.277	1e-06	0.0322266	1.3963e-06	0.00755288	1e-06	1792.82	1.17972e-06	1.09632e-06	0.297885	1.27552e-06	490.447	601004	1.14463e-06	0.858281	0.000150103	0.000354222	1.26266e-06	0.0165692
1e-06	1e-06	8.90568e-05	1.43091e-06	11.2865	1e-06	1e-06	1e-06	0.000243066	0.000158247	1.47012e-05	1.17616e-06	1.0762e-06	0.0123212	1.35852e-06	1.7393e-06	0.00796819	1.06615e-06	1683.47	0.00180926	0.325879	3.21393e-05	3679.76	1.06781e-06	1.24829e-06	135745	1.04669e-06	3.33043e-05	0.0125558	678.777	0.0156158
1.10599e-06	1e-06	0.000110944	0.000237487	10.9027	1.93229e-06	1.33278e-06	2.44005e-05	0.0322033	1e-06	2.2627e-06	8702.23	1.73054e-06	1.05405e-06	0.440607	1.16456e-06	0.00301679	0.000276217	1348.94	57.2765	0.769613	26747.7	25760.5	0.000189407	1.21646e-06	30.3948	0.0224065	1.05395e-06	12.0354	806.767	0.0154871
0.000574029	1.05007e-06	0.000161604	0.000207091	10.2033	1.07686e-06	1.33548e-06	2.7812e-05	0.022368	1e-06	1.12216e-06	8709.57	1.219e-06	0.0100381	1200.12	1.93326e-06	1.631e-06	0.000252766	1511.35	0.00153221	0.646998	1e-06	1.32737e-06	668.176	1.57224e-06	19.5325	0.0211863	1.16381e-06	0.0105802	1.37352e-06	0.015405
0.000614004	1.01491e-06	0.000182761	0.000206481	10.8593	1.08612e-06	1.1352e-06	2.91945e-05	0.0262959	1.05372e-06	1.14475e-06	1.12688e-06	1.1375e-06	0.00868994	2.22137e-06	1e-06	0.0075121	0.000278414	1954.4	1e-06	0.701854	2221.68	2889.61	806.975	1.93349e-06	23.5723	0.0264103	1.01347e-06	0.000250963	1.4143e-06	0.0146746
0.00059582	1.12768e-06	5.99367e-05	2.69213e-06	11.2878	3.28745e-05	1.20745e-06	2.79231e-05	2.13221e-06	1.04084e-06	1.26119e-06	0.438622	1.0104e-06	1e-06	1167.57	1.08269e-06	0.00730514	0.000241644	1438.54	1.19698e-06	1.00692e-06	23494.6	40879.9	678.162	1.64198e-06	1.32489e-06	0.0211018	1.14865e-06	0.00828509	2.15735e-06	0.0142314
0.000722268	1.15852e-06	0.000223605	0.000233327	10.9967	1.4099e-06	1.15048e-06	3.03252e-05	0.0190147	1.07167e-06	1.18464e-06	9839.55	1.07011e-06	1.15166e-06	1.97677e-06	1.11497e-06	0.00757856	0.000179351	1408.29	1.94178e-06	1.31111e-06	19297.8	21814.1	721.426	1.43427e-06	22.6691	0.866226	1.09083e-06	0.0163091	810.147	0.0133309
0.000896835	1e-06	0.000184763	0.000264757	8.57281	1.05978e-06	1.27351e-06	2.15366e-05	0.0279235	1e-06	1.43465e-06	9418.51	1e-06	0.0131435	1091.44	1.81036e-06	0.00369802	0.000315014	1491.34	0.00282104	1.52755e-06	1800.14	1.86128e-06	849.023	2.20878e-06	21.8748	0.0176661	1e-06	0.0116667	576.301	0.0129794
0.000665849	1.11261e-06	0.000216256	1.24874e-06	11.0411	2.00004e-06	1e-06	2.14784e-05	0.0356386	1.02452e-06	1.53769e-06	10565.7	2.01389e-06	1.02467e-06	2028.9	1.85207e-06	0.00382214	0.000242447	1175.89	1e-06	0.885093	19885.5	32896.3	503.644	1.21992e-06	23.3708	0.02005	1.2278e-06	0.000272776	671.614	0.0125575
0.0011907	1.12566e-06	0.000101773	0.000273219	9.2292	1.18022e-06	1.67605e-06	1.96113e-05	0.0371036	1.14536e-06	1e-06	1.22368e-06	2.68487e-06	1e-06	2142.96	2.72943e-06	0.00458491	0.000372217	1728.02	1.74487e-06	1.03873e-06	23874.2	3.19911e-06	1.95722e-06	277970	28.79	0.720508	2.87476e-05	0.0178043	904.024	0.0122239
0.00125211	1.10034e-06	9.66649e-05	0.00021571	11.3281	2.74644e-05	1.86836e-06	1.72507e-05	0.0296309	1.19446e-06	1e-06	0.472632	1.77793e-06	0.0131491	1.48616e-06	2.31817e-06	0.0042775	0.000248873	641.725	1.06392e-06	1.06248	21096.5	19771.2	448.351	1e-06	132087	0.0152609	1.29447e-06	0.0198399	485.199	0.0120585
0.00106914	1e-06	0.000201993	0.000284036	12.5148	1.00379e-06	1.50577e-06	2.66177e-05	0.0337584	1.1086e-06	1.24574e-06	1.51775e-06	2.30243e-06	1.24708e-06	2327.07	1.74729e-06	0.00530886	0.000290354	1650.76	1.832e-06	1.25815e-06	21464.3	33840.8	803.131	1.16543e-06	23.7664	0.0200485	1.04e-06	0.016103	1053.65	0.0118566
0.0013117	1e-06	0.000229455	0.000238848	11.4132	2.55621e-05	1e-06	1.67003e-05	0.041039	1.08494e-06	1.76379e-06	8452.37	1.52018e-06	1.54257e-06	1638.03	1e-06	0.00635361	0.000250522	2453.19	1.54418e-06	0.739262	23736.1	22637.9	1592.8	1.36858e-06	120727	1.03683	1.36204e-06	0.000212107	817.043	0.0116348
0.00118251	1.0155e-06	0.000237585	0.000246722	11.7238	1.3363e-06	1.86922e-06	2.79135e-05	0.0327771	1e-06	1.11064e-06	10470.6	1.32547e-06	0.0170792	460.898	2.8345e-06	0.00387845	0.000334371	1888.34	1.84338e-06	0.625734	23888.4	24004.9	1976.5	1.35457e-06	118979	0.853542	1.25555e-06	0.000192657	749.536	0.0106199
0.00145657	1e-06	0.0004122	1.14667e-06	11.4618	1.224e-06	1e-06	1.28683e-05	0.0266603	1e-06	1.86689e-06	9262.33	2.26625e-06	1.43096e-06	1700.89	2.26421e-06	0.00638972	0.000196055	1538.43	1.14799e-06	1.17591e-06	18066	22846.8	932.173	1.61346e-06	1e-06	0.0148265	1e-06	0.0168169	758.693	0.0103919
