(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
9.97055	0.151755	1.01802	6.7764	0.129001	0.228166	0.170452	0.1	0.117409	6.36017	33.8865	21.3954	100.0	19.7386	6.66501	18.2984	0.125118	42.8143	0.681534	28.2739	0.816372	10.7355	11316.2
6.99485	6.51994	1.57429	0.779081	0.15626	0.535791	0.156382	0.683662	0.1	0.233559	30.3084	0.180223	100.0	26.4168	3.42824	8.38813	30.2559	16.5933	0.638279	22.253	0.67731	60.7999	19110.4
93.1928	19.7509	2.20485	4.897	0.36896	0.22568	0.1	0.1	0.1	29.5782	17.0108	0.459544	100.0	19.5319	20.6153	24.0025	9.68394	47.9777	1.1042	0.514218	0.832073	50.5032	16761.1
100.0	97.3516	0.164284	1.0141	0.1	3.92551	0.104912	0.10356	0.1	5.87541	0.586673	6.25326	100.0	10.6567	0.45933	43.6375	7.41596	22.5609	0.940039	19.674	0.939364	19.4289	7028.55
13.2876	38.3332	0.190997	0.369794	0.1	0.758282	0.1	0.1	0.1	3.27594	0.115599	4.07232	100.0	6.50717	0.285739	41.9953	11.3402	11.4667	0.74276	5.9708	0.799585	3.37298	8512.85
100.0	3.49447	0.233251	0.247145	0.106386	47.5322	0.174245	0.1	0.1	3.86776	0.102092	5.85225	93.4063	5.75747	0.113951	9.72089	18.6347	7.61929	1.02997	2.09575	1.246	1.15896	6969.62
0.209499	0.261858	0.519618	0.128194	0.125035	34.2267	0.1	0.104456	0.1	4.38055	0.107531	0.466986	12.1141	0.237613	58.1371	4.5093	0.520895	0.994072	1.96292	12.4706	2.17505	3.04155	11214.6
22.33	0.38061	2.20879	0.507749	8.42674	93.8517	0.140612	0.249973	0.359588	0.453742	0.372765	10.1675	33.7924	1.76513	0.460063	32.6694	2.16834	0.385458	1.06638	0.106923	1.10185	42.862	23390.3
0.981897	2.57894	0.413746	30.495	53.7923	0.113532	1.34706	6.15724	8.94607	1.27202	0.328283	88.9742	18.8754	33.9633	11.5476	9.82008	2.67829	2.99996	0.1	36.1055	0.222276	12.396	31655.4
11.1842	0.133194	0.773315	0.107578	0.135278	0.207064	0.18414	0.108497	0.114354	14.9914	63.0593	21.8821	87.6563	72.7056	8.20446	0.126086	24.5332	94.3786	0.87139	1.08013	1.03763	23.8195	10154.8
97.0666	100.0	3.7283	0.52542	0.311941	47.7134	0.102207	0.1	0.123562	9.55751	48.2006	0.352318	100.0	1.63763	98.75	3.39314	0.895167	53.968	1.48654	0.125773	1.63232	55.0288	13293.2
18.3595	46.868	1.09312	0.123151	0.1	100.0	0.110805	0.1	1.78517	2.95096	1.88967	7.3408	100.0	0.455685	100.0	15.4614	1.28765	37.1755	23.2191	2.30959	3.54307	51.1107	8822.84
7.98341	32.5743	0.689114	0.113886	0.1	100.0	0.103397	0.1	1.33107	1.59523	2.10982	7.65364	100.0	0.421611	97.7281	44.3222	1.17657	18.9859	17.1129	0.421748	4.25297	14.067	9485.67
12.5413	0.864029	0.109502	0.107294	0.101042	91.2764	0.129645	0.100815	0.178029	2.9377	2.70052	12.224	65.8649	0.479752	62.0822	0.70383	0.868449	7.33886	2.87195	0.431207	3.65843	23.8293	9244.37
80.6269	0.473288	0.911405	0.784832	1.93395	0.626837	0.1	0.1	0.1	4.81656	0.103594	51.8479	100.0	7.05181	11.9209	4.82256	0.539284	0.975364	0.873762	8.402	1.32563	31.1481	7764.08
96.138	0.428377	4.44606	13.799	5.47822	2.0722	0.101365	0.104348	0.101326	4.58068	0.128508	14.3212	93.3032	13.9044	0.787492	32.1912	0.563135	34.8412	0.771111	21.6945	0.757684	8.16612	7690.63
5.86587	18.9332	0.194813	0.43397	1.19651	2.35026	0.101614	0.1	0.1	6.38129	0.431659	10.8863	100.0	5.47615	0.417041	26.8706	1.62744	72.52	0.864202	6.66775	1.14483	41.7537	9049.16
