(phosphorylation of MAPK).k7	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.0528792	4427.7
0.0607134	19513
0.0697084	1805.52
0.0800359	1734.87
0.0918935	10248.7
0.105508	2872.21
0.121139	1801.56
0.139086	17617.1
0.159693	2900.23
0.183352	1725.77
0.210516	1737.8
0.241705	2717.87
0.277514	2636.01
0.318629	10600.4
0.365835	13052.5
0.420034	15726.4
0.482264	1845.41
0.553713	1748.86
0.635748	1908.75
0.729936	1730.13
0.838079	1716.32
0.962243	1724.81
1.1048	1712.49
1.26848	1715.06
1.45641	1710.58
1.67219	1707.86
1.91993	1709.99
2.20437	1707.18
2.53096	1712.07
2.90593	1716.67
3.33645	1709.02
3.83076	1709.25
4.3983	1712.44
5.04992	1707.38
5.79809	1711.41
6.6571	1708.61
7.64337	1706.98
8.77576	1712.04
10.0759	1708.5
11.5687	1706.76
13.2827	1707.27
15.2505	1706.9
17.5099	1706.31
20.1041	1705.94
23.0826	1705.67
26.5024	1705.43
30.4288	1705.46
34.9369	1705.04
40.113	1705.54
46.0559	1704.6
52.8792	1703.49
60.7134	1703.67
69.7084	1700.48
80.0359	1702.54
91.8935	1702.45
105.508	1703.31
121.139	1703.11
139.086	1701.76
159.693	1691.81
183.352	1717.92
210.516	1719.63
241.705	1696.44
277.514	1720.8
318.629	1689.42
365.835	1695.24
420.034	1698.85
482.264	1739.6
553.713	1697.13
635.748	1725.6
729.936	1704.38
838.079	1692.61
962.243	1707.64
1104.8	1763.92
1268.48	1722.36
1456.41	1729.62
1672.19	1835.14
1919.93	1743.12
2204.37	1782.55
2530.96	5953.6
2905.93	51216.7
3336.45	52896.5
3830.76	42691.1
4398.3	38691.1
5049.92	55302.3
5798.09	6519.4
6657.1	56345.8
7643.37	35123
8775.76	49993
10075.9	36824.8
11568.7	63428.5
13282.7	59051.2
15250.5	57357.2
17509.9	59143.3
20104.1	59594.4
23082.6	59438.9
26502.4	44200.1
30428.8	72293
34936.9	73763.9
40113	62418.9
46055.9	60890.9
52879.2	60017.9
