(MAPKKK inactivation).V2	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.0685834	4358.75
0.0787443	3871.03
0.0904105	3155.19
0.103805	2840.62
0.119184	2587.45
0.136842	2505.28
0.157115	2236.85
0.180393	2192.17
0.207119	2035.56
0.237804	1899.38
0.273035	1905.88
0.313487	1808.85
0.359931	1830.82
0.413256	1786.42
0.474481	1805.27
0.544777	1773.65
0.625488	1753.48
0.718156	1738.57
0.824554	1742.96
0.946714	1736.76
1.08697	1733.76
1.24801	1758.2
1.43291	1703.17
1.6452	1704.69
1.88894	1710.72
2.1688	1704.43
2.49011	1765.68
2.85903	1707.44
3.28261	1739.39
3.76894	1705.26
4.32732	1702.79
4.96843	1702.18
5.70452	1702.13
6.54966	1706
7.52002	1741.76
8.63414	1706.96
9.91332	1707.19
11.382	1705.84
13.0683	1705.48
15.0044	1721.1
17.2274	1710.42
19.7797	1707.07
22.7101	1705.72
26.0747	1708.1
29.9377	1705.32
34.3731	1704.38
39.4656	1704.28
45.3126	1704.91
52.0258	1706.79
59.7336	1704.24
68.5834	1704.27
78.7443	1701.63
90.4105	1705.2
103.805	1706.04
119.184	1705.41
136.842	1707.24
157.115	1715.96
180.393	1723.74
207.119	1711.02
237.804	1818.85
273.035	1747.06
313.487	2565.24
359.931	1778.58
413.256	1777.36
474.481	1742.07
544.777	1727.05
625.488	2468.92
718.156	3054.5
824.554	3779.65
946.714	4046.76
1086.97	7062.75
1248.01	4171.64
1432.91	6716.5
1645.2	13241.5
1888.94	10141.7
2168.8	11559
2490.11	12117.5
2859.03	26612.7
3282.61	17341.1
3768.94	20777.5
4327.32	27130.7
4968.43	22844
5704.52	25927.2
6549.66	27005.6
7520.02	27955.6
8634.14	63068.5
9913.32	28983.4
11382	35051.1
13068.3	36332.2
15004.4	71860
17227.4	37705.4
19779.7	32146.8
22710.1	32146.8
26074.7	49007.4
29937.7	45769.9
34373.1	77974.8
39465.6	79779.4
45312.6	79188.9
52025.8	77013.9
59733.6	81365.4
68583.4	89583.4
