(phosphorylation of MAPK).KK7	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.000465017	1708.61
0.000533911	1708.44
0.000613012	1708.34
0.000703832	1708.29
0.000808107	1708.41
0.000927831	1708.5
0.00106529	1708.33
0.00122312	1708.48
0.00140433	1708.31
0.00161239	1708.27
0.00185127	1708.28
0.00212554	1708.52
0.00244044	1708.24
0.002802	1708.19
0.00321713	1708.34
0.00369376	1708.45
0.00424101	1708.4
0.00486933	1708.23
0.00559073	1708.37
0.00641902	1708.34
0.00737002	1708.23
0.00846192	1708.21
0.00971558	1707.99
0.011155	1707.99
0.0128076	1707.98
0.0147051	1707.97
0.0168837	1708.25
0.0193851	1707.98
0.0222571	1707.99
0.0255546	1707.95
0.0293406	1707.63
0.0336875	1707.62
0.0386784	1707.71
0.0444088	1707.36
0.0509881	1707.3
0.0585422	1707.09
0.0672154	1707.13
0.0771736	1706.73
0.0886072	1706.81
0.101735	1706.45
0.116807	1706.14
0.134112	1706.1
0.153982	1705.75
0.176795	1705.43
0.202987	1705.16
0.233061	1704.95
0.267589	1704.73
0.307234	1704.49
0.352751	1704.32
0.405013	1704.28
0.465017	1704.3
0.533911	1704.54
0.613012	1704.98
0.703832	1705.68
0.808107	1706.71
0.927831	1708.05
1.06529	1710.09
1.22312	1712.52
1.40433	1715.69
1.61239	1719.91
1.85127	1724.5
2.12554	1730.51
2.44044	1730.28
2.802	1746.79
3.21713	1755.42
3.69376	1767.41
4.24101	1780.19
4.86933	1796.55
5.59073	1814.77
6.41902	1828.24
7.37002	1848.33
8.46192	1834.92
9.71558	1902.81
11.155	1942.51
12.8076	1973.13
14.7051	2016.63
16.8837	2063.17
19.3851	2105.73
22.2571	2162.01
25.5546	2220.48
29.3406	2292.99
33.6875	2358.5
38.6784	2434.25
44.4088	2537.47
50.9881	2598.88
58.5422	2690
67.2154	2827.76
77.1736	2896.99
88.6072	2997.74
101.735	3099.12
116.807	3213.56
134.112	3322.45
153.982	3451.63
176.795	3564.02
202.987	3654.63
233.061	3783.26
267.589	3894.64
307.234	3978.56
352.751	4061.14
405.013	4161.71
465.017	4232.1
