(phosphorylation of MAPKK).KK3	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
644.762	11814
740.286	13814.1
849.962	11387.7
975.887	12714.9
1120.47	12075.5
1286.47	11264.1
1477.06	12812.4
1695.9	10858.2
1947.15	11131.6
2235.63	11532.8
2566.84	10937.4
2947.13	11093
3383.76	10676.4
3885.08	10632.7
4460.66	10738.3
5121.53	10886.4
5880.3	10964.3
6751.49	10987.6
7751.74	11359
8900.19	11145.8
10218.8	12195.1
11732.7	10651.5
13471	15358.5
15466.8	16282.7
17758.2	10501.7
20389.2	10494.6
23409.9	10753.6
26878.2	10141.1
30860.2	10153
35432.3	9919.18
40681.7	9760.13
46708.9	9880.71
53629	9501.66
61574.3	9312.92
70696.7	9220.59
81170.7	8897.92
93196.5	8694.54
107004	8289.06
122857	7826
141059	7393.81
161957	6776.7
185951	6264.98
213501	5507.49
245132	4985.33
281449	4327.17
323146	3647.57
371022	2998.12
425990	2496.98
489102	2011.3
561564	1788.12
644762	1704.26
740286	1807.48
849962	2141.94
975887	2721.68
1.12047e+06	3560.12
1.28647e+06	4664.83
1.47706e+06	6038.21
1.6959e+06	7631.88
1.94715e+06	9377.18
2.23563e+06	11398.2
2.56684e+06	13439.1
2.94713e+06	15736.6
3.38376e+06	18625.2
3.88508e+06	21911.7
4.46066e+06	25550.3
5.12153e+06	29694.7
5.8803e+06	33833
6.75149e+06	38572.8
7.75174e+06	43144.7
8.90019e+06	50214.3
1.02188e+07	54569.4
1.17327e+07	57416.5
1.3471e+07	62853.2
1.54668e+07	66712.8
1.77582e+07	69500.3
2.03892e+07	72977.8
2.34099e+07	75409.2
2.68782e+07	82824.7
3.08602e+07	80557.4
3.54323e+07	82988.2
4.06817e+07	88109.8
4.67089e+07	89353.4
5.3629e+07	89351.6
6.15743e+07	93182.5
7.06967e+07	95748.6
8.11707e+07	92571
9.31965e+07	93727.6
1.07004e+08	94643.3
1.22857e+08	95557.1
1.41059e+08	96272.6
1.61957e+08	96986.4
1.85951e+08	97524.4
2.13501e+08	101166
2.45132e+08	98465.5
2.81449e+08	101913
3.23146e+08	103026
3.71022e+08	103398
4.2599e+08	99823
4.89102e+08	100181
5.61564e+08	103649
6.44762e+08	100544
