(dephosphorylation of MAPK-P).V10	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
402.068	55999.3
461.636	60701.6
530.029	62588.2
608.555	61933.2
698.714	61154.7
802.231	62971.5
921.085	54878.4
1057.55	55221.7
1214.23	63306.3
1394.12	56117
1600.66	52807.1
1837.81	49827.7
2110.08	53792.3
2422.7	51577.3
2781.63	50169.7
3193.74	61371
3666.9	50725.2
4210.17	47255.2
4833.92	49403.5
5550.08	9888.76
6372.35	54716
7316.43	56894.4
8400.39	1752.99
9644.94	1706.39
11073.9	2012.01
12714.5	1705.36
14598.2	1739.08
16761	1816.28
19244.2	1703.52
22095.3	1722.12
25368.8	1698.58
29127.3	1696.6
33442.6	1702.13
38397.2	1705.11
44085.9	1690.14
50617.4	1706.74
58116.5	1688.73
66726.7	1690.6
76612.5	1697.84
87962.9	1714.53
100995	1701.22
115958	1701.08
133137	1701.46
152862	1704.07
175509	1702.41
201511	1702.73
231366	1703.23
265644	1706.37
305000	1703.62
350187	1703.58
402068	1704.26
461636	1709.45
530029	1705.28
608555	1705.28
698714	1705.32
802231	1705.64
921085	1707.03
1.05755e+06	1708.28
1.21423e+06	1708.99
1.39412e+06	1706.22
1.60066e+06	1711.96
1.83781e+06	1712
2.11008e+06	1730.23
2.4227e+06	1719.27
2.78163e+06	1716.7
3.19374e+06	2821.02
3.6669e+06	1710.19
4.21017e+06	1707.99
4.83392e+06	1819.91
5.55008e+06	1715.85
6.37235e+06	2145.95
7.31643e+06	1732.49
8.40039e+06	12336.5
9.64494e+06	16715.7
1.10739e+07	13419
1.27145e+07	5654.45
1.45982e+07	7046.43
1.6761e+07	17976.3
1.92442e+07	15536
2.20953e+07	17791.2
2.53688e+07	3334.14
2.91273e+07	18195.3
3.34426e+07	19688.3
3.83972e+07	20501
4.40859e+07	20149
5.06174e+07	18189.3
5.81165e+07	21315.1
6.67267e+07	20660.2
7.66125e+07	20328.6
8.79629e+07	16862.1
1.00995e+08	21740.4
1.15958e+08	20046.4
1.33137e+08	21941.8
1.52862e+08	22048
1.75509e+08	21884.8
2.01511e+08	22174.3
2.31366e+08	22304.4
2.65644e+08	22299.3
3.05e+08	22244.2
3.50187e+08	22304.1
4.02068e+08	22158
