(phosphorylation of MAPK-P).k8	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.121668	2037.73
0.139694	2317.94
0.16039	2914.34
0.184152	102647
0.211435	106178
0.24276	105122
0.278725	100908
0.320019	109098
0.367431	92207.8
0.421868	77108.9
0.484369	78264.4
0.55613	84188.1
0.638523	87416.9
0.733122	93486.4
0.841737	87404.2
0.966443	2218.68
1.10963	2308.32
1.27402	1819.07
1.46277	1717.13
1.67949	1723.12
1.92831	1725.91
2.21399	2376.75
2.542	1797.94
2.91861	1709.5
3.35101	1709.75
3.84748	2764.43
4.4175	2328.28
5.07197	1730
5.8234	1710.88
6.68615	1762.28
7.67673	1718.16
8.81407	1964.44
10.1199	1711.66
11.6192	1712.27
13.3406	1716.63
15.3171	1708.68
17.5864	1707.05
20.1919	1728.98
23.1834	1722.53
26.6181	1705.07
30.5616	1711.38
35.0894	1709.9
40.2881	1727.51
46.2569	1704.84
53.11	1706.32
60.9784	1704.66
70.0126	1705.08
80.3853	1705.45
92.2946	1705.81
105.968	1704.31
121.668	1704.11
139.694	1702.86
160.39	1708.44
184.152	1705.12
211.435	1702.84
242.76	1721.69
278.725	1874.76
320.019	2304.8
367.431	2940.98
421.868	3786.15
484.369	4897.3
556.13	5896.27
638.523	7112.11
733.122	8436.44
841.737	9651.3
966.443	10884.6
1109.63	12092.7
1274.02	14339.2
1462.77	14295.5
1679.49	15393.9
1928.31	16268.2
2213.99	17405.7
2542	18076.1
2918.61	18326.2
3351.01	18853.7
3847.48	19320.9
4417.5	20053.1
5071.97	20395.4
5823.4	20711.2
6686.15	20672.6
7676.73	20905.7
8814.07	21182.6
10119.9	21325.5
11619.2	21467.5
13340.6	21581.7
15317.1	21725.7
17586.4	21821
20191.9	21892.5
23183.4	21981.1
26618.1	22049.1
30561.6	22123.5
35089.4	22173.2
40288.1	22217.5
46256.9	22260.6
53110	22300
60978.4	22326.6
70012.6	22341.7
80385.3	22365.1
92294.6	22401.9
105968	22414.7
121668	22446.4
