(MAPKKK activation).K1	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00067174	1708.38
0.000771261	1708.54
0.000885526	1708.35
0.00101672	1709.33
0.00116735	1709.36
0.0013403	1709.31
0.00153887	1709.78
0.00176686	1706.68
0.00202862	1709.26
0.00232917	1709.32
0.00267425	1708.47
0.00307044	1709.34
0.00352534	1708.48
0.00404763	1708.33
0.00464731	1707.22
0.00533582	1709.23
0.00612634	1709.03
0.00703398	1709.2
0.00807609	1709.07
0.00927259	1709.14
0.0106464	1709.13
0.0122237	1709.07
0.0140346	1709.01
0.0161139	1708.99
0.0185013	1708.82
0.0212423	1708.98
0.0243894	1708.96
0.0280028	1708.88
0.0321515	1708.76
0.0369149	1708.75
0.0423839	1709.25
0.0486633	1708.55
0.0558729	1708.62
0.0641507	1708.39
0.0736548	1707.01
0.0845671	1706.87
0.097096	1707.98
0.111481	1707.43
0.127997	1705.13
0.146961	1707.04
0.168733	1704.11
0.193732	1706.53
0.222434	1706.24
0.255388	1705.75
0.293225	1705.34
0.336668	1705.31
0.386546	1705.02
0.443814	1704.92
0.509567	1704.6
0.585061	1704.44
0.67174	1704.3
0.771261	1704.23
0.885526	1704.33
1.01672	1704.59
1.16735	1705.22
1.3403	1706.35
1.53887	1707.81
1.76686	1707.75
2.02862	1710.87
2.32917	1715.11
2.67425	1714.91
3.07044	1719.12
3.52534	1725.46
4.04763	1730.95
4.64731	1746.73
5.33582	1799.15
6.12634	1770.54
7.03398	1792.2
8.07609	1817.67
9.27259	1850.05
10.6464	1885.55
12.2237	1935.36
14.0346	1988.17
16.1139	2061.66
18.5013	2151.08
21.2423	2239.27
24.3894	2361.17
28.0028	2492.56
32.1515	2646.73
36.9149	2836.07
42.3839	3052.81
48.6633	3313.08
55.8729	3616.98
64.1507	4024.57
73.6548	4299.76
84.5671	4680.23
97.096	5220.03
111.481	5714.34
127.997	6645.73
146.961	7090.75
168.733	7443.16
193.732	8167.64
222.434	9307.12
255.388	10161.2
293.225	10626.3
336.668	11937.1
386.546	11911
443.814	12779.8
509.567	13939.1
585.061	14574.2
671.74	15600.1
