(dephosphorylation of MAPKK-P).KK6	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
995.531	2335.59
1143.02	1743.6
1312.37	11264
1506.8	11020.5
1730.03	1816.71
1986.35	1771.34
2280.63	9795.38
2618.51	1784.87
3006.46	2056.01
3451.87	10891.3
3963.28	10621
4550.45	1715.2
5224.62	10129.5
5998.67	2178.72
6887.39	9198.98
7907.78	1846.3
9079.35	8152.27
10424.5	7919.24
11968.9	6781.96
13742.2	7313.83
15778.1	6559.65
18115.7	2793.84
20799.6	5421.69
23881.1	1791.07
27419.2	4217.84
31481.5	2016.64
36145.5	1706.64
41500.6	2421.67
47649.1	3540.66
54708.5	3546.58
62813.8	3201.9
72119.8	2653.66
82804.7	1890.67
95072.5	2231.26
109158	1990.27
125330	1708.64
143898	1713.19
165217	1714.76
189695	1709.17
217798	1710.96
250066	1710.69
287114	1711.78
329651	1727.53
378490	1713.97
434565	1707.5
498947	1704.46
572868	1704.52
657741	1704.45
755187	1704.25
867071	1704.27
995531	1704.25
1.14302e+06	1704.27
1.31237e+06	1703.58
1.5068e+06	1704.26
1.73003e+06	1704.25
1.98635e+06	1706.31
2.28063e+06	1711.11
2.61851e+06	1719.78
3.00646e+06	1718.09
3.45187e+06	1715.09
3.96328e+06	1715.72
4.55045e+06	1724.83
5.22462e+06	1740.34
5.99867e+06	1755.13
6.88739e+06	1750.93
7.90778e+06	1778.78
9.07935e+06	1762.13
1.04245e+07	1758.07
1.19689e+07	1734.94
1.37422e+07	1825.12
1.57781e+07	1789.65
1.81157e+07	1803.4
2.07996e+07	5604.69
2.38811e+07	2249.51
2.74192e+07	1899.98
3.14815e+07	1926.74
3.61455e+07	1795.51
4.15006e+07	2410.39
4.76491e+07	2607.59
5.47085e+07	7251.47
6.28138e+07	4558.37
7.21198e+07	1881.06
8.28047e+07	2287.58
9.50725e+07	5876.91
1.09158e+08	2426.17
1.2533e+08	2432.37
1.43898e+08	1957.37
1.65217e+08	2040.15
1.89695e+08	2145.31
2.17798e+08	2602.95
2.50066e+08	7621.41
2.87114e+08	6975.65
3.29651e+08	6104.17
3.7849e+08	6785.78
4.34565e+08	7072.28
4.98947e+08	6777.24
5.72868e+08	6875.22
6.57741e+08	8478.35
7.55187e+08	8443.7
8.67071e+08	8606.95
9.95531e+08	7304.87
