(dephosphorylation of MAPKK-P).V6	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
6.32964	5184.08
7.2674	1776.07
8.34409	3861.64
9.5803	1852.14
10.9997	1902.62
12.6293	1778.65
14.5004	1727.01
16.6486	1729.08
19.1152	1725.67
21.9472	1728.72
25.1988	1726.63
28.932	1723.44
33.2184	1721.09
38.1399	3658.95
43.7904	1719.08
50.2781	1722.77
57.727	1718.59
66.2795	1720.46
76.099	1718.79
87.3734	1716.41
100.318	1722.55
115.181	1728.3
132.245	1722.43
151.837	2393.4
174.333	1753.25
200.161	1726.37
229.815	2290.83
263.863	2067.93
302.956	1989.76
347.84	1721.87
399.373	2033
458.542	2071.85
526.477	1709.49
604.476	1917.63
694.031	1704.71
796.854	1711.44
914.911	1717.82
1050.46	1718.03
1206.09	1709.98
1384.77	1714.87
1589.93	1704.08
1825.49	1713.35
2095.94	1709.41
2406.46	1719.79
2762.99	1706.59
3172.33	1705.56
3642.33	1705.59
4181.95	1704.26
4801.52	1704.24
5512.89	1704.27
6329.64	1704.27
7267.4	1750.98
8344.09	1882.01
9580.3	2153.41
10999.7	2493.76
12629.3	2919.09
14500.4	3360.46
16648.6	3865.8
19115.2	4335.25
21947.2	4892.18
25198.8	5203.5
28932	5883.74
33218.4	6164.7
38139.9	6562.07
43790.4	6938.8
50278.1	7403.7
57727	8019.33
66279.5	8182.71
76099	8500.57
87373.4	8909.32
100318	8981.05
115181	9296.23
132245	9349.01
151837	9345.4
174333	9646
200161	9838.28
229815	10002.9
263863	9777.08
302956	10025.6
347840	10151.7
399373	10242.2
458542	10252.3
526477	9553.35
604476	10272.1
694031	8502.97
796854	8365.11
914911	9588.56
1.05046e+06	8759.37
1.20609e+06	9353.45
1.38477e+06	10401.8
1.58993e+06	10411.9
1.82549e+06	11187.1
2.09594e+06	10445.6
2.40646e+06	9171.63
2.76299e+06	10611
3.17233e+06	9260.9
3.64233e+06	8812.45
4.18195e+06	8794.12
4.80152e+06	8659.28
5.51289e+06	8950.38
6.32964e+06	8949.85
