(dephosphorylation of MAPK-PP).KK9	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
984.059	1704.24
1129.85	1704.27
1297.24	1704.26
1489.43	1704.26
1710.1	1704.26
1963.46	1704.26
2254.35	1704.27
2588.34	1704.27
2971.81	1704.26
3412.1	1704.27
3917.61	1704.26
4498.02	1704.27
5164.42	1704.24
5929.54	1704.27
6808.02	1704.24
7816.66	1704.27
8974.72	1704.25
10304.4	1702.27
11831	1704.26
13583.8	1704.27
15596.3	1704.25
17906.9	1704.24
20559.9	1704.27
23605.9	1704.21
27103.2	1702.69
31118.7	1704.27
35729	1704.24
41022.4	1704.23
47100	1704.27
54078.1	1704.28
62089.9	1704.27
71288.8	1704.26
81850.5	1704.25
93976.9	1704.27
107900	1704.25
123886	1704.26
142240	1704.27
163313	1704.26
187509	1704.26
215289	1704.27
247184	1704.23
283806	1704.23
325853	1704.24
374129	1704.23
429557	1704.24
493198	1704.26
566267	1704.27
650161	1704.26
746485	1704.26
857080	1704.27
984059	1704.28
1.12985e+06	1704.24
1.29724e+06	1704.22
1.48943e+06	1704.25
1.7101e+06	1704.26
1.96346e+06	1704.26
2.25435e+06	1704.25
2.58834e+06	1704.28
2.97181e+06	1704.23
3.4121e+06	1704.28
3.91761e+06	1704.24
4.49802e+06	1704.27
5.16442e+06	1704.23
5.92954e+06	1704.27
6.80802e+06	1704.26
7.81666e+06	1704.27
8.97472e+06	1704.22
1.03044e+07	1704.28
1.1831e+07	1704.26
1.35838e+07	1704.25
1.55963e+07	1704.26
1.79069e+07	1704.27
2.05599e+07	1704.26
2.36059e+07	1704.27
2.71032e+07	1704.27
3.11187e+07	1704.26
3.5729e+07	1704.27
4.10224e+07	1704.27
4.71e+07	1704.26
5.40781e+07	1704.27
6.20899e+07	1704.2
7.12888e+07	1704.28
8.18505e+07	1704.25
9.39769e+07	1704.27
1.079e+08	1704.23
1.23886e+08	1704.27
1.4224e+08	1704.28
1.63313e+08	1704.27
1.87509e+08	1704.27
2.15289e+08	1704.26
2.47184e+08	1704.27
2.83806e+08	1704.23
3.25853e+08	1704.26
3.74129e+08	1704.27
4.29557e+08	1704.27
4.93198e+08	1704.27
5.66267e+08	1704.27
6.50161e+08	1704.27
7.46485e+08	1704.26
8.5708e+08	1704.27
9.84059e+08	1704.27
