(MAPKKK activation).Ki	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.0701269	30557.7
0.0805165	30557.7
0.0924453	30557.7
0.106141	30557.7
0.121867	30557.7
0.139922	30557.7
0.160651	30557.7
0.184453	30557.7
0.21178	30557.7
0.243156	30557.7
0.27918	30557.7
0.320542	30557.7
0.368031	30557.7
0.422556	30557.7
0.48516	30557.7
0.557038	30557.7
0.639565	30557.7
0.734319	30557.7
0.843111	30557.7
0.968021	30557.7
1.11144	30557.7
1.2761	30557.7
1.46516	30557.7
1.68223	30557.7
1.93146	30557.7
2.21761	30557.7
2.54615	30557.7
2.92338	30557.7
3.35648	30557.7
3.85376	30557.7
4.42471	30557.7
5.08024	30557.7
5.8329	30557.7
6.69707	30557.7
7.68926	30557.7
8.82845	30557.7
10.1364	21648
11.6382	10056.7
13.3624	4576.57
15.3421	5067.63
17.6151	3916.34
20.2248	2625.05
23.2212	2719.2
26.6615	2302.19
30.6115	2024.88
35.1467	1800.33
40.3538	1768.36
46.3324	1711.19
53.1967	1713.54
61.078	1705.37
70.1269	1704.28
80.5165	1711.32
92.4453	1729.07
106.141	1756.78
121.867	1789.47
139.922	1853.75
160.651	1899.99
184.453	1977.8
211.78	2046.47
243.156	2172.86
279.18	2574.27
320.542	18756.3
368.031	18756.3
422.556	18756.3
485.16	18756.3
557.038	18756.3
639.565	18756.3
734.319	18756.3
843.111	18756.3
968.021	18756.3
1111.44	18756.3
1276.1	18756.3
1465.16	18756.3
1682.23	18756.3
1931.46	18756.3
2217.61	18756.3
2546.15	18756.3
2923.38	18756.3
3356.48	18756.3
3853.76	18756.3
4424.71	18756.3
5080.24	18756.3
5832.9	18756.3
6697.07	18756.3
7689.26	18756.3
8828.45	18756.3
10136.4	18756.3
11638.2	18756.3
13362.4	18756.3
15342.1	18756.3
17615.1	18756.3
20224.8	18756.3
23221.2	18756.3
26661.5	18756.3
30611.5	18756.3
35146.7	18756.3
40353.8	18756.3
46332.4	18756.3
53196.7	18756.3
61078	18756.3
70126.9	18756.3
