(phosphorylation of MAPKK-P).KK4	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00543266	1721.7
0.00623753	1723.56
0.00716164	1723.63
0.00822266	1723.57
0.00944088	1723.82
0.0108396	1722.16
0.0124455	1717.88
0.0142894	1721.59
0.0164064	1723.67
0.018837	1723.65
0.0216278	1721.73
0.024832	1721.47
0.028511	1724.29
0.032735	1723.47
0.0375848	1721.5
0.0431532	1723.67
0.0495464	1721.41
0.0568869	1725.02
0.0653149	1721.41
0.0749916	1723.13
0.0861019	1721.14
0.0988582	1720.96
0.113504	1720.84
0.13032	1719.87
0.149628	1720.7
0.171796	1720.28
0.197248	1720.35
0.226471	1720.62
0.260023	1723.19
0.298547	1721.73
0.342778	1719.67
0.393561	1719.29
0.451869	1728.24
0.518815	1747.33
0.595679	1722.61
0.683931	1735.09
0.785258	1751.22
0.901597	1755.14
1.03517	1750.62
1.18854	1714.57
1.36462	1771.71
1.5668	1717.16
1.79892	1740.26
2.06544	1714.78
2.37144	1726.09
2.72278	1718.35
3.12617	1712.7
3.58932	1706.71
4.12109	1702.02
4.73165	1705.66
5.43266	1704.28
6.23753	1706.61
7.16164	1709.02
8.22266	1711.12
9.44088	1710.25
10.8396	1713.02
12.4455	1717.12
14.2894	1724.06
16.4064	1728.79
18.837	1737.33
21.6278	1744.23
24.832	1753.66
28.511	1764.53
32.735	1775.2
37.5848	1786.08
43.1532	1800.08
49.5464	1812.34
56.8869	1822.6
65.3149	1842.69
74.9916	1854.7
86.1019	1873.43
98.8582	1876.09
113.504	1906.26
130.32	2106.54
149.628	1973.28
171.796	2047.5
197.248	1983.2
226.471	2286.82
260.023	1953.05
298.547	1962.59
342.778	2041.89
393.561	3161.47
451.869	2310.46
518.815	5458.33
595.679	2254.2
683.931	2350.01
785.258	2965.67
901.597	5290.14
1035.17	8422.16
1188.54	4553.78
1364.62	9328.69
1566.8	10223.3
1798.92	15375.2
2065.44	42457.5
2371.44	39400.5
2722.78	53784.6
3126.17	33408.5
3589.32	48880.6
4121.09	48247.1
4731.65	60524.8
5432.66	61536.6
