Time,monophosphorylated PER,total PER,PER mRNA,nuclear PER,EmptySet,unphosphorylated PER,biphosphorylated PER
0,0.242749070582,1.01267239694,0.104642854512,0.250157174164,0.0,0.260758902546,0.259464785828
20,0.886100688918,4.14418606287,0.917607330923,1.46138727869,0.0,1.02518027122,1.00878675158
40,1.0652701784,4.73393900662,2.3134665059,1.25981373844,0.0,1.77072970513,0.865530905458
60,0.827746832567,4.01595670351,2.7553570508,0.835945873054,0.0,1.75591973463,0.617001095533
80,0.601502407517,2.44249228608,2.61889821577,0.467385965876,0.0,1.17066326113,0.342789463662
100,0.354317846437,1.62729779221,1.69583481694,0.327015213727,0.0,0.674017427536,0.229570726629
120,0.329257737601,1.83041462559,0.776599131787,0.669669903388,0.0,0.382523299704,0.373876294037
140,0.677909414957,3.39215767698,0.682165370299,1.31087909191,0.0,0.712305423663,0.841655680943
160,0.99192077101,5.04088175023,1.65389327738,1.34096764803,0.0,1.43523746095,0.978372257677
180,0.976674925875,4.3245061591,2.79100569121,1.00892597471,0.0,1.88068559118,0.723317392346
200,0.737532337556,3.12837798826,2.89181166039,0.641654680373,0.0,1.35404974122,0.458476236652
220,0.4308612255,1.93762980705,2.17236588332,0.37114125675,0.0,0.828334895321,0.280042761761
240,0.317088061705,1.5147855824,1.26025546367,0.431023807193,0.0,0.476503456244,0.240903006912
260,0.479194659188,2.63271018293,0.497515930399,1.08330819985,0.0,0.482519162903,0.636856717358
280,0.894493709471,4.62143894589,1.16124006712,1.44592535814,0.0,1.09498343854,0.970496482362
300,1.08297986923,4.71149593441,2.29864937453,1.16584950883,0.0,1.7788215236,0.896766913953
320,0.872788429593,3.88328601349,2.76979780609,0.811952825977,0.0,1.62533741041,0.605186172461
340,0.56012541713,2.36149432542,2.38668896226,0.444386015586,0.0,1.07544575261,0.33192175106
360,0.34838887576,1.50262712231,1.68482735059,0.326729984393,0.0,0.599767467496,0.21865417263
380,0.355614004398,1.80843472217,0.756511977356,0.741774623804,0.0,0.389368222954,0.380253845006
400,0.727379165678,3.75962582727,0.739544400619,1.34281839823,0.0,0.789226782097,0.831497519272
420,1.05878313137,4.65721327597,1.79040335545,1.40758393217,0.0,1.49653445459,0.926418127718
440,0.961714926358,4.29356704311,2.80197437433,0.953306316686,0.0,1.83949614852,0.733968628976
460,0.713735141092,3.15332879322,2.66484977583,0.610858449344,0.0,1.29755536291,0.431911962794
480,0.435374938076,1.81450858548,1.99086813706,0.367365733903,0.0,0.799155713949,0.246454761784
500,0.304028195935,1.48356732966,1.1449441608,0.477736214634,0.0,0.441256545736,0.271128872616
520,0.523827615816,2.86114375327,0.531508561365,1.10603421541,0.0,0.510954527136,0.651146747925
540,0.925930210523,4.55066329104,1.28276778275,1.39998486062,0.0,1.24203228954,0.940939359603
560,0.981814986194,4.70285021844,2.2921842522,1.22737528624,0.0,1.75261704726,0.83283312615
580,0.822360126764,3.90675408031,2.78074210752,0.753035579458,0.0,1.56959363225,0.592866502005
600,0.535624317926,2.47470661667,2.4640423354,0.414457521206,0.0,1.06011269008,0.332440726492
620,0.319338238758,1.50410958354,1.67641254022,0.350289005626,0.0,0.583485344398,0.231773666925
640,0.373720393228,2.01494203396,0.650338224781,0.764869896166,0.0,0.393615503026,0.425368736564
660,0.79002430877,3.92564144826,0.732413455912,1.40927066403,0.0,0.798251436142,0.843394146249
680,0.998891354642,4.98558109773,1.78185726679,1.27437631816,0.0,1.58351205197,0.936983304099
700,0.940822513999,4.25760522953,2.77194196356,0.991941150485,0.0,1.77757210895,0.68603801409
720,0.673730801001,3.11095189329,2.68306806573,0.57386074842,0.0,1.29010013944,0.413175789722
740,0.431680151958,1.85891182221,2.00362249512,0.328509142585,0.0,0.77028110148,0.256857110571
760,0.310609150005,1.50088650276,1.04727341123,0.493121731757,0.0,0.412108188126,0.262423778353
780,0.555105020702,2.95564603243,0.540181596157,1.09244835076,0.0,0.559061169945,0.675669594066
800,0.91068713619,4.47616742436,1.34730456415,1.35579830558,0.0,1.19682954597,1.00324103906
820,1.05966292301,4.89656922363,2.40461123269,1.16544464252,0.0,1.71797163709,0.875272917786
840,0.813846945918,3.46738307776,2.91849908886,0.71999513914,0.0,1.59803761975,0.529740620114
860,0.491111588092,2.22638043166,2.43661256414,0.404988465623,0.0,1.012966661,0.321511173446
880,0.323440895062,1.53343042257,1.48207067095,0.340698656973,0.0,0.559386636203,0.227324643577
900,0.402745805895,2.01965040316,0.613715016567,0.820461777142,0.0,0.383072594774,0.448109352102
920,0.782552787168,3.81223643262,0.804009729916,1.43482381703,0.0,0.861411274809,0.922925285278
940,1.07807278901,4.87883231521,1.92982542895,1.32397199474,0.0,1.70371624659,0.960362247495
960,0.958094000036,4.05925972027,2.86047157564,0.873544921548,0.0,1.68304505356,0.694594398057
980,0.662072057042,2.81034294527,2.77352477842,0.514414267203,0.0,1.29402952223,0.417330689085
1000,0.401801662557,1.75534751033,1.87366283991,0.342571815977,0.0,0.72436490601,0.248768377735
