[monophosphorylated PER]_0	[total PER]_0	[PER mRNA]_0	[nuclear PER]_0	[EmptySet]_0	[unphosphorylated PER]_0	[biphosphorylated PER]_0	(degradation of PER).Kd	(degradation of PER mRNA).Vm	(first phosphorylation of PER).K1	(removal of the first PER phosphate).V2	(transcription of PER).KI	(transcription of PER).Vs	(removal of the second PER phosphate).V4	(second phosphorylation of PER).V3	(transcription of PER).n	(removal of the second PER phosphate).K4	(removal of the first PER phosphate).K2	(translocation of PER to the cytoplasm).k2	(first phosphorylation of PER).V1	(translation of PER).ks	(second phosphorylation of PER).K3	(translocation of PER to the nucleus).k1	(degradation of PER).Vd	(degradation of PER mRNA).Km	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
3.973e-005	1.94351	0.930721	1.24141	0	0.70185	0.000208289	254041	1787.02	0.953121	380872	0.0181662	0.00568777	0.038634	1092.05	50.379	1127.45	4.14213	79237.2	0.00171889	0.253327	43.4404	164058	2.05588	0.129256	2.27086e-006
1.83211e-005	2.12461	0.909006	1.00645	0	0.984589	0.133544	181138	1315.71	0.936766	394507	1.82358	0.570921	2.34409	0.0290702	0.562874	16952	1.98609e-006	14123.3	0.0136046	0.215984	186257	477424	1.29012e-005	5.37577	2.69936e-006
0.951225	2.13193	0.31913	0.842912	0	2.25529e-005	0.337774	260067	2081.03	1.54865	293122	1.63389	0.6895	2.29612	0.0322275	0.601464	15291.6	1.61159e-006	14809	0.0138778	0.219514	175338	585226	6.16106e-005	2.73585e-005	2.74891e-006
0.936376	1.8808	0.244923	0.638541	0	1.59782e-005	0.305872	299105	1581.4	7.69068e-005	182219	1.21555	0.571515	1.58804	0.0269288	0.661466	7817.68	2.096	0.00201594	8.88379e-006	2.61921e-006	2.71565e-005	194188	412.964	2.56928e-005	2.77889e-006
1.08984	2.06948	0.17354	0.623516	0	1.65639e-005	0.356111	298164	1616.51	7.74032e-005	225561	1.20926	0.522444	1.58057	3.02077	0.572293	8074.56	2.60744e-006	545	0.0162601	0.207446	164658	571457	662.535	0.0077186	2.74857e-006
0.970632	1.81687	0.21582	0.559914	0	9.03711e-006	0.286319	618894	1572.06	9.06196	474926	0.0131778	0.251178	0.000251737	1.35108	3.02886	5.30564e-005	16913.1	139198	0.0253857	0.0160406	5.16208e-005	159993	586.17	0.00595837	2.60193e-006
0.824995	2.01299	0.106256	0.629284	0	0.00153822	0.557173	1.4725	0.554664	564839	8.83346	69188.5	0.000162108	580.126	13821.9	1.45708	0.129527	5766.02	1.2251e-005	0.0258218	0.0104311	5.96881e-005	19.8357	340.078	2233.47	2.92443e-006
0.0103664	0.771038	0.0745775	0.456187	0	0.00420879	0.300276	2465.54	0.00200726	0.00183214	7.13322	64938	0.000743904	508.69	0.000204436	1.34932	5.62137e-005	0.00511483	1.34597e-006	0.000281235	0.00086449	2.69243e-005	0.60234	576.541	9.32452e-005	3.46645e-006
0.0101103	0.565986	0.124781	0.555868	0	3.05459e-006	4.1364e-006	2349.66	0.949404	0.00220779	1160.74	30902.1	0.0436647	0.00365221	662281	0.294402	701600	0.00523291	1.38987e-006	1.01366e-005	0.00139336	4.15447	2105.01	5.71357e-006	27.2366	2.54075e-006
0.00778201	0.769227	0.13616	0.525606	0	0.204825	0.0310146	0.00486719	8688.63	2.18163e-006	4.69623e-005	0.854957	2.35444	6.05712e-006	0.00311534	0.00262796	2.50444e-005	1.62382	2.69816e-005	2.56496	2.23586e-006	0.0941814	0.451318	0.000702086	16687.7	3.06101e-006
0.452226	1.25262	0.127786	0.497104	0	0.272351	0.0309402	37835.7	682828	0.0539553	1.39309e-005	115.122	0.0393154	0.0424615	0.000850825	0.00128478	6.2229	3.62403e-005	1.21655	0.00060919	1.57917e-006	0.135109	62.1655	0.0012816	158.988	2.9023e-006
0.572462	1.43718	5.61826e-005	0.000384192	0	0.864334	1.08138e-006	42615	812788	0.0516405	8.91123e-006	64.7234	0.0367902	0.031359	25472.1	3.86977e-006	3.98779e-006	102229	0.846156	12.3935	1.20326e-006	590156	51.9351	0.000872864	181.963	2.82004e-006
0.638074	1.69069	0.117582	0.768252	0	0.24352	0.0408405	32540.6	5.97805	0.0563521	169.87	44.6058	7.75851e-006	0.000106813	0.000654549	1.81646	1731.94	932.012	1696.9	0.000479958	2.38263	0.128192	0.000103539	0.0160078	4.09189	2.85357e-006
0.55143	0.63829	0.0646074	0.0515967	0	1.96134e-005	0.0352434	614.513	749881	0.0670633	0.029248	0.0055574	4.58051	0.000147407	0.000791595	1.30406	2394.12	856.156	1947.93	0.000425142	2.12076	2.46338e-006	8.2835e-005	0.0174663	202.112	2.67731e-006
1.14812	1.38671	0.041375	0.00977399	0	0.18935	0.0394671	0.151928	8.92351e-005	85.009	1925.06	281.449	0.00363949	1.15447e-006	6.53245e-005	0.00225523	0.0210289	0.900989	0.193332	0.0024375	3.25797e-006	5.47962e-006	5.53871e-006	0.0417328	0.0725534	3.09551e-006
1.03271	1.61725	0.0470138	0.459242	0	0.091812	0.0334795	0.154303	0.00014089	98.9908	2411.21	283.347	0.00279508	1e-006	4.65457e-005	29.686	0.021406	0.668124	0.655365	0.00214182	8.88809e-005	0.00125208	161460	0.0473858	0.0938014	2.42825e-006
0.000336622	0.00034292	0.00790407	2.28575e-006	0	1.6702e-006	2.342e-006	0.518017	3.05552e-005	0.0969596	96033.1	0.00347259	2.44663e-006	3.92379e-005	4646.91	12.301	0.301303	1.03151	89507.2	5.03893e-006	0.60566	10.8593	4.43185e-005	0.0635884	1.4916e-005	3.83382e-006
0.0685223	0.172328	7.07781e-006	0.102095	0	2.36134e-006	0.00170912	701170	1e-006	303698	222034	3879.59	0.00093154	147.748	4.63737e-006	0.246086	63375.1	5437.6	97134.3	0.0151733	0.00141825	6.60131e-006	25518.1	0.0648357	1.30514e-005	3.73959e-006
0.0408207	0.177875	3.81394	0.13475	0	1.50927e-006	0.00230219	34.551	0.0674155	8.97784e-006	0.00443709	0.0017557	3.5236e-005	175.572	3.31679e-005	18.7671	19804.2	5770.48	62047.3	23.8605	0.00146123	6.26347e-006	25841	0.0479267	0.0102291	3.98816e-006
0.0238257	0.254618	7.72788e-006	0.158587	0	0.0701947	0.0020101	4726.14	0.0434418	1.3275e-005	164508	4421.98	0.000832502	0.058701	1.40229	0.345426	49980.4	4231.94	1.98422	28.7363	0.634176	1.13408e-005	1.96243e-005	0.00193931	0.016595	3.8948e-006
