(dephosphorylation of MAPKK-P).V6	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.136785	3884.67
0.15705	3393.24
0.180318	5047.07
0.207032	3064.29
0.237705	5835.98
0.272922	2652.84
0.313356	5481.78
0.359781	2321.14
0.413084	2225.6
0.474284	2117.54
0.544551	2734.51
0.625228	4650.78
0.717858	1956.17
0.824211	4188.15
0.946321	1883.1
1.08652	1846.48
1.24749	3736.33
1.43231	3460.6
1.64452	1789.07
1.88816	1773.79
2.1679	1781.68
2.48908	2276.41
2.85784	4688.62
3.28124	3047.3
3.76737	2298.76
4.32552	2704.85
4.96636	1772.39
5.70215	1773.91
6.54694	1712.42
7.51689	1727.43
8.63055	1828.81
9.9092	1975.28
11.3773	1720.47
13.0629	1703.2
14.9982	1703.87
17.2202	1701.84
19.7714	1698.26
22.7007	1698.11
26.0638	1715.61
29.9253	1707.09
34.3588	1692.38
39.4492	1707.38
45.2938	1696.06
52.0042	1705.23
59.7088	1691.16
68.5549	1688.73
78.7116	1692.91
90.373	1688.25
103.762	1688.05
119.135	1687.91
136.785	1687.74
157.05	1687.61
180.318	1687.52
207.032	1688.33
237.705	1698.62
272.922	1690.2
313.356	1687.39
359.781	1687.29
413.084	1689.14
474.284	1689.95
544.551	1696.12
625.228	1692.32
717.858	1695.64
824.211	1692.72
946.321	1692.36
1086.52	1690.83
1247.49	1696.57
1432.31	1703.77
1644.52	1731.93
1888.16	1740.95
2167.9	1752.6
2489.08	2308.77
2857.84	1807.79
3281.24	1859.19
3767.37	1781.68
4325.52	1917.84
4966.36	2048.34
5702.15	2768.64
6546.94	5129.79
7516.89	3548.62
8630.55	8995.69
9909.2	5377
11377.3	9371.45
13062.9	9741.1
14998.2	9506.53
17220.2	6177.41
19771.4	6900.45
22700.7	9800.74
26063.8	10135.5
29925.3	10633.9
34358.8	10228.3
39449.2	10454.7
45293.8	10178
52004.2	10328.8
59708.8	9310.35
68554.9	10383
78711.6	10253.6
90373	10848.1
103762	9675.7
119135	10140.3
136785	10412.5
