(MAPKKK inactivation).KK2	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
2.48388	2488
2.85188	3207.87
3.27439	4053.5
3.7595	3671.72
4.31649	4615.42
4.95599	3488.27
5.69024	3972.33
6.53327	3598.33
7.5012	4052.28
8.61253	2986.71
9.8885	2975.89
11.3535	3915.35
13.0356	3646.2
14.9669	3257.66
17.1843	2296.43
19.7302	2420.24
22.6533	2437.49
26.0094	2277.42
29.8628	2284.7
34.2871	1921.94
39.3668	2019.25
45.1992	1842.94
51.8956	1803.3
59.5841	20758.2
68.4117	1782.09
78.5472	1742.6
90.1842	1819.1
103.545	1861.53
118.886	2199.53
136.499	1885.4
156.722	1727.64
179.941	1827.7
206.6	1759.48
237.209	1751.1
272.352	1727.61
312.702	1688.25
359.03	1692.05
412.221	1701.52
473.294	1724.89
543.414	1686.87
623.922	1726.97
716.359	1691.42
822.49	1689.88
944.345	1691.97
1084.25	1688.27
1244.89	1694.37
1429.32	1697.86
1641.08	1693.9
1884.22	1689.07
2163.37	1691.81
2483.88	1687.74
2851.88	1688.33
3274.39	1690.71
3759.5	1689.29
4316.49	1688.79
4955.99	1689.09
5690.24	1693.02
6533.27	1689.73
7501.2	1689.43
8612.53	1694.77
9888.5	1694.43
11353.5	1712.63
13035.6	1968.98
14966.9	2294.56
17184.3	4120.04
19730.2	2719.6
22653.3	2170.57
26009.4	4195.86
29862.8	4393.33
34287.1	3191.17
39366.8	10465.5
45199.2	9602.72
51895.6	2334.86
59584.1	8369.12
68411.7	12182.3
78547.2	11767.3
90184.2	12061.2
103545	13048.7
118886	10204.2
136499	14229.2
156722	17382.3
179941	15583
206600	13796.5
237209	15102.8
272352	16895
312702	17026.7
359030	16813.3
412221	17318.1
473294	17671.2
543414	18087.8
623922	18140.8
716359	17737.8
822490	17831.2
944345	17956.2
1.08425e+06	18780.7
1.24489e+06	17614.3
1.42932e+06	18953.7
1.64108e+06	18190.2
1.88422e+06	17994.8
2.16337e+06	18099
2.48388e+06	18371.1
