(MAPKKK activation).K1	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.000642237	1692.17
0.000737387	1692.14
0.000846633	1692.13
0.000972065	1692.1
0.00111608	1692.13
0.00128143	1692.15
0.00147128	1692.14
0.00168926	1692.13
0.00193952	1692.12
0.00222687	1692.12
0.00255679	1692.12
0.00293559	1692.11
0.00337051	1692.1
0.00386986	1692.06
0.00444319	1692.03
0.00510147	1692.02
0.00585727	1692.01
0.00672505	1692.02
0.00772139	1692.01
0.00886534	1691.98
0.0101788	1691.76
0.0116868	1691.74
0.0134182	1691.71
0.0154062	1691.65
0.0176887	1691.62
0.0203093	1691.6
0.0233182	1691.51
0.0267729	1690.79
0.0307394	1691.41
0.0352935	1691.33
0.0405224	1691.26
0.046526	1691.07
0.0534189	1690.99
0.0613332	1690.75
0.0704199	1691.12
0.0808528	1690.5
0.0928315	1690.28
0.106585	1690.19
0.122376	1690.08
0.140506	1689.94
0.161323	1689.72
0.185223	1689.63
0.212665	1689.29
0.244172	1689.03
0.280347	1688.83
0.321881	1688.5
0.369569	1688.36
0.424322	1688.15
0.487187	1687.97
0.559365	1687.82
0.642237	1687.74
0.737387	1687.79
0.846633	1687.94
0.972065	1688.47
1.11608	1688.89
1.28143	1690.14
1.47128	1690.95
1.68926	1692.8
1.93952	1695.9
2.22687	1698.3
2.55679	1701.33
2.93559	1706.05
3.37051	1709.71
3.86986	1721.56
4.44319	1726.12
5.10147	1741.95
5.85727	1757.84
6.72505	1773.09
7.72139	1796.81
8.86534	1826.6
10.1788	1862.54
11.6868	1904.18
13.4182	1960.29
15.4062	2035.17
17.6887	2112.72
20.3093	2204.98
23.3182	2288.46
26.7729	2449.94
30.7394	2589.49
35.2935	2754.08
40.5224	2964.71
46.526	3202.91
53.4189	3479.16
61.3332	3779.88
70.4199	4117.27
80.8528	4499.96
92.8315	4991.18
106.585	5392.17
122.376	6328.32
140.506	6450.09
161.323	7034.84
185.223	8399.92
212.665	8804.54
244.172	9021.51
280.347	10429.8
321.881	10759.5
369.569	11297.3
424.322	13589.6
487.187	14334.5
559.365	13792.4
642.237	14587.9
