(phosphorylation of MAPK).KK7	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.000849762	1703.02
0.000975657	1702.82
0.0011202	1702.6
0.00128617	1703.12
0.00147672	1703.19
0.0016955	1702.58
0.00194669	1702.68
0.0022351	1703.04
0.00256624	1702.67
0.00294644	1702.29
0.00338296	1702.58
0.00388416	1702.81
0.00445961	1702.58
0.00512032	1702.72
0.00587892	1702.62
0.0067499	1702.55
0.00774992	1702.43
0.0088981	1702.37
0.0102164	1702.59
0.01173	1702.56
0.0134678	1702.2
0.0154631	1705.45
0.017754	1705.61
0.0203844	1701.77
0.0234044	1704.69
0.0268718	1705.97
0.030853	1704.43
0.035424	1704.17
0.0406722	1703.94
0.0466979	1709.66
0.0536164	1702.68
0.0615598	1702.58
0.0706801	1702.46
0.0811516	1699.76
0.0931746	1701.27
0.106979	1700.51
0.122828	1700.02
0.141025	1697.83
0.161919	1698.38
0.185908	1697.62
0.213451	1696.57
0.245074	1697.4
0.281383	1695.74
0.323071	1694.39
0.370935	1693.26
0.42589	1691.82
0.488987	1690.5
0.561432	1689.41
0.64461	1688.52
0.740112	1687.95
0.849762	1687.74
0.975657	1688.01
1.1202	1688.81
1.28617	1690.34
1.47672	1691.25
1.6955	1695.22
1.94669	1699.52
2.2351	1701.49
2.56624	1707.89
2.94644	1714.96
3.38296	1723.3
3.88416	1734.08
4.45961	1744.51
5.12032	1758.41
5.87892	1775.61
6.7499	1793.26
7.74992	1813.19
8.8981	1843.86
10.2164	1867.58
11.73	1912.92
13.4678	1938.44
15.4631	1966.22
17.754	2010.04
20.3844	2060.97
23.4044	2109.21
26.8718	2168.46
30.853	2228.95
35.424	2298.67
40.6722	2379.54
46.6979	2460.6
53.6164	2546.32
61.5598	2633.35
70.6801	2732.31
81.1516	2843.05
93.1746	2938.68
106.979	3063.32
122.828	3148.12
141.025	3293.83
161.919	3411.59
185.908	3598.09
213.451	3619.74
245.074	3722.11
281.383	3908.76
323.071	3990.02
370.935	4194.71
425.89	4181.28
488.987	4306.79
561.432	4319.1
644.61	4458.34
740.112	4502.87
849.762	4571.04
