(MAPKKK activation).n	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
571.088	1687.74
655.697	1687.74
752.841	1687.74
864.377	1687.74
992.437	1687.74
1139.47	1687.74
1308.29	1687.74
1502.11	1687.74
1724.66	1687.74
1980.17	1687.74
2273.54	1687.74
2610.38	1687.74
2997.11	1687.74
3441.15	1687.74
3950.96	1687.74
4536.31	1687.74
5208.38	1687.74
5980.03	1687.74
6865.99	1687.74
7883.21	1687.74
9051.13	1687.74
10392.1	1687.71
11931.7	1687.74
13699.4	1687.74
15729.1	1687.74
18059.4	1687.74
20735	1687.74
23806.9	1687.74
27334	1687.74
31383.6	1687.74
36033.2	1687.74
41371.7	1687.74
47501	1687.74
54538.5	1687.74
62618.6	1687.74
71895.7	1687.74
82547.3	1687.74
94777	1687.74
108819	1687.74
124940	1687.74
143451	1687.74
164704	1687.74
189105	1687.74
217122	1687.74
249289	1687.74
286222	1687.74
328627	1687.74
377314	1687.74
433215	1687.74
497397	1687.73
571088	1687.74
655697	1687.74
752841	1687.74
864377	1687.74
992437	1687.74
1.13947e+06	1687.74
1.30829e+06	1687.74
1.50211e+06	1687.74
1.72466e+06	1687.74
1.98017e+06	1687.74
2.27354e+06	1687.74
2.61038e+06	1687.74
2.99711e+06	1687.74
3.44115e+06	1687.74
3.95096e+06	1687.74
4.53631e+06	1687.74
5.20838e+06	1687.74
5.98003e+06	1687.74
6.86599e+06	1687.74
7.88321e+06	1687.74
9.05113e+06	1687.74
1.03921e+07	1687.74
1.19317e+07	1687.74
1.36994e+07	1687.74
1.57291e+07	1687.74
1.80594e+07	1687.74
2.0735e+07	1687.74
2.38069e+07	1687.74
2.7334e+07	1687.74
3.13836e+07	1687.74
3.60332e+07	1687.74
4.13717e+07	1687.74
4.7501e+07	1687.74
5.45385e+07	1687.74
6.26186e+07	1687.74
7.18957e+07	1687.74
8.25473e+07	1687.74
9.4777e+07	1687.74
1.08819e+08	1687.74
1.2494e+08	1687.74
1.43451e+08	1687.74
1.64704e+08	1687.74
1.89105e+08	1687.74
2.17122e+08	1687.74
2.49289e+08	1687.74
2.86222e+08	1687.74
3.28627e+08	1687.74
3.77314e+08	1687.74
4.33215e+08	1687.74
4.97397e+08	1687.74
5.71088e+08	1687.74
