(dephosphorylation of MAPKK-PP).KK5	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
30.0432	83738.1
34.4942	77724.3
39.6047	81343.7
45.4722	140698
52.2091	78771.6
59.9441	89014.5
68.825	78011.5
79.0217	97041.6
90.729	79313.1
104.171	80265.7
119.604	80561.7
137.324	76451.9
157.669	81894.5
181.028	51358.4
207.848	75699.5
238.642	70912.4
273.997	75939.2
314.591	73246.8
361.199	72463.7
414.712	72287.8
476.153	58290.1
546.696	69259
627.691	60191.4
720.686	49509.8
827.458	62118.9
950.049	15125.3
1090.8	53852.2
1252.41	19321.5
1437.96	21001.8
1651	22154.5
1895.6	13131.8
2176.44	8700.69
2498.88	6728.95
2869.1	20235.2
3294.17	5571.36
3782.21	10253.1
4342.56	11557.8
4985.93	9938.97
5724.61	7100.64
6572.74	7613.79
7546.51	8564.34
8664.55	5883.03
9948.24	5756.59
11422.1	5126.5
13114.3	4231.71
15057.3	3631.81
17288.1	2995.8
19849.3	2411.86
22790.1	2004.59
26166.5	1752.58
30043.2	1687.74
34494.2	1751.26
39604.7	1923.59
45472.2	2201.15
52209.1	2701.48
59944.1	3136.42
68825	3650.08
79021.7	4264.69
90729	4981.59
104171	5588.88
119604	6090.35
137324	6843.64
157669	7084.45
181028	7811.65
207848	8346.1
238642	9126.87
273997	9515.27
314591	9705.71
361199	10442.9
414712	10748.4
476153	10708.1
546696	11000.8
627691	11578.5
720686	11976.9
827458	12179.4
950049	11930.4
1.0908e+06	11970.9
1.25241e+06	12089.3
1.43796e+06	12782.2
1.651e+06	12907.5
1.8956e+06	13026
2.17644e+06	12518.3
2.49888e+06	13005.5
2.8691e+06	12623.4
3.29417e+06	13139.8
3.78221e+06	13316.5
4.34256e+06	13242.5
4.98593e+06	12879.5
5.72461e+06	12861.8
6.57274e+06	12873.9
7.54651e+06	13173.8
8.66455e+06	12932.5
9.94824e+06	13358.3
1.14221e+07	12949.1
1.31143e+07	13484.1
1.50573e+07	13212.8
1.72881e+07	13148.7
1.98493e+07	12992
2.27901e+07	13005.7
2.61665e+07	13012.9
3.00432e+07	13317.4
