(dephosphorylation of MAPKK-P).KK6	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
21.1614	15837.1
24.2965	2836.95
27.8962	14242.9
32.0291	16737.6
36.7743	16560
42.2225	6808.89
48.478	2009.34
55.6602	15069.5
63.9064	14140.5
73.3744	12959.3
84.2451	13468.6
96.7263	3310.63
111.057	10672.2
127.51	10138.4
146.401	9266.22
168.091	2225.97
192.994	5601.89
221.587	9476.8
254.416	3342.66
292.109	3567.29
335.386	3049.78
385.074	1746.2
442.124	2474.69
507.627	2531.19
582.833	2323.13
669.182	2098.39
768.324	4235.67
882.154	1751.22
1012.85	3157.23
1162.91	1715.6
1335.19	2562.06
1533.01	1707.48
1760.13	2371.53
2020.9	1716.43
2320.3	1714.05
2664.06	1715.6
3058.75	1715.73
3511.92	1700.24
4032.22	1694.5
4629.61	1736.24
5315.5	1709.4
6103.01	1692.45
7007.2	1691.95
8045.34	1694.07
9237.29	1691.43
10605.8	1688.69
12177.1	1688.47
13981.2	1688.4
16052.6	1688.05
18430.8	1687.92
21161.4	1687.74
24296.5	1687.61
27896.2	1687.52
32029.1	1687.4
36774.3	1688.38
42222.5	1698.71
48478	1691.87
55660.2	1707.73
63906.4	1700.64
73374.4	1691.51
84245.1	1694.38
96726.3	1700.52
111057	1697.63
127510	1752.42
146401	1713.94
168091	1695.48
192994	1749.35
221587	1748.24
254416	1740.96
292109	3399.83
335386	1797.72
385074	1793.03
442124	2360.51
507627	1827.04
582833	1713.67
669182	1777.9
768324	2240.42
882154	3646.5
1.01285e+06	4472.68
1.16291e+06	6840.6
1.33519e+06	5530.67
1.53301e+06	4249.97
1.76013e+06	4641.79
2.0209e+06	5166.1
2.3203e+06	6741.45
2.66406e+06	5124.5
3.05875e+06	5543.69
3.51192e+06	3554.58
4.03222e+06	2755.01
4.62961e+06	4441.36
5.3155e+06	2521.78
6.10301e+06	6892.99
7.0072e+06	5367.03
8.04534e+06	8436.37
9.23729e+06	6891.75
1.06058e+07	6978.91
1.21771e+07	6950.1
1.39812e+07	6764.05
1.60526e+07	7519.31
1.84308e+07	6415.33
2.11614e+07	7660.14
