(phosphorylation of MAPKK-P).KK4	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00311701	1698.13
0.00357881	1698.08
0.00410902	1696.54
0.00471779	1697.96
0.00541674	1693.69
0.00621925	1692.6
0.00714066	1696.99
0.00819857	1696.73
0.00941322	1697.41
0.0108078	1697.35
0.012409	1695.31
0.0142475	1697.73
0.0163583	1696.55
0.0187818	1695.34
0.0215644	1696.6
0.0247593	1694.4
0.0284275	1697.47
0.0326391	1695.69
0.0374747	1696.11
0.0430267	1692.04
0.0494013	1693.52
0.0567203	1696.5
0.0651236	1696.39
0.0747719	1691.88
0.0858496	1696.64
0.0985685	1694.91
0.113172	1696.52
0.129939	1696.26
0.149189	1696.01
0.171292	1695.42
0.19667	1694.94
0.225807	1691.55
0.259262	1692.29
0.297672	1693.97
0.341773	1690.83
0.392408	1693.16
0.450545	1694.63
0.517295	1692.25
0.593934	1691.34
0.681927	1691.07
0.782958	1692.11
0.898956	1692.19
1.03214	1690.16
1.18505	1689.8
1.36062	1696.64
1.56221	1689.3
1.79365	1688.97
2.05939	1693.57
2.36449	1691.14
2.7148	1688.73
3.11701	1687.74
3.57881	1688.81
4.10902	1688.25
4.71779	1692.53
5.41674	1700.25
6.21925	1695.5
7.14066	1699.1
8.19857	1698.05
9.41322	1702.78
10.8078	1706.85
12.409	1715.04
14.2475	1724.92
16.3583	1729.33
18.7818	1734.38
21.5644	1743.93
24.7593	1749.37
28.4275	1742.76
32.6391	1782.11
37.4747	1788.97
43.0267	1806.71
49.4013	1819.87
56.7203	1839.59
65.1236	1850.89
74.7719	1861.91
85.8496	1866.53
98.5685	1900.9
113.172	1887.01
129.939	1914.26
149.189	1871.84
171.292	2011.49
196.67	1993.34
225.807	1998.3
259.262	1973.96
297.672	1923.21
341.773	2088.35
392.408	2407.77
450.545	2028.94
517.295	1979.2
593.934	2765.43
681.927	2279.17
782.958	4116.76
898.956	2185.61
1032.14	19791.3
1185.05	4848.32
1360.62	2510.9
1562.21	2954.14
1793.65	4492.02
2059.39	55267.1
2364.49	30555.4
2714.8	37538.9
3117.01	4677.69
