(dephosphorylation of MAPK-PP).V9	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
1.77151e-09	1687.74
2.03397e-09	1687.74
2.3353e-09	1687.74
2.68129e-09	1687.74
3.07853e-09	1687.74
3.53463e-09	1687.74
4.05829e-09	1687.74
4.65955e-09	1687.74
5.34987e-09	1687.74
6.14248e-09	1687.74
7.05251e-09	1687.74
8.09736e-09	1687.74
9.29702e-09	1687.74
1.06744e-08	1687.74
1.22559e-08	1687.74
1.40716e-08	1687.74
1.61564e-08	1687.74
1.855e-08	1687.74
2.12982e-08	1687.74
2.44536e-08	1687.74
2.80765e-08	1687.74
3.22362e-08	1687.74
3.70121e-08	1687.74
4.24956e-08	1687.74
4.87914e-08	1687.74
5.60201e-08	1687.74
6.43196e-08	1687.74
7.38488e-08	1687.74
8.47898e-08	1687.74
9.73517e-08	1687.74
1.11775e-07	1687.74
1.28335e-07	1687.74
1.47348e-07	1687.74
1.69178e-07	1687.74
1.94242e-07	1687.74
2.2302e-07	1687.74
2.56061e-07	1687.74
2.93997e-07	1687.74
3.37554e-07	1687.74
3.87564e-07	1687.74
4.44983e-07	1687.74
5.10909e-07	1687.74
5.86602e-07	1687.74
6.73509e-07	1687.74
7.73292e-07	1687.74
8.87858e-07	1687.74
1.0194e-06	1687.74
1.17043e-06	1687.74
1.34383e-06	1687.74
1.54292e-06	1687.74
1.77151e-06	1687.74
2.03397e-06	1687.74
2.3353e-06	1687.74
2.68129e-06	1687.74
3.07853e-06	1687.74
3.53463e-06	1687.74
4.05829e-06	1687.74
4.65955e-06	1687.74
5.34987e-06	1687.74
6.14248e-06	1687.74
7.05251e-06	1687.74
8.09736e-06	1687.74
9.29702e-06	1687.74
1.06744e-05	1687.74
1.22559e-05	1687.74
1.40716e-05	1687.74
1.61564e-05	1687.74
1.855e-05	1687.73
2.12982e-05	1687.74
2.44536e-05	1687.74
2.80765e-05	1687.74
3.22362e-05	1687.74
3.70121e-05	1687.74
4.24956e-05	1687.74
4.87914e-05	1687.74
5.60201e-05	1687.74
6.43196e-05	1687.74
7.38488e-05	1687.74
8.47898e-05	1687.74
9.73517e-05	1687.74
0.000111775	1687.74
0.000128335	1687.74
0.000147348	1687.74
0.000169178	1687.74
0.000194242	1687.74
0.00022302	1687.74
0.000256061	1687.74
0.000293997	1687.74
0.000337554	1687.74
0.000387564	1687.74
0.000444983	1687.74
0.000510909	1687.74
0.000586602	1687.74
0.000673509	1687.74
0.000773292	1687.74
0.000887858	1687.74
0.0010194	1687.74
0.00117043	1687.74
0.00134383	1687.74
0.00154292	1687.74
0.00177151	1687.74
