(dephosphorylation of MAPK-P).V10	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
347.722	54072
399.238	59367.2
458.387	9917.31
526.299	61261.2
604.272	28143.6
693.797	62267.4
796.585	58654.9
914.602	3902.86
1050.1	4288.61
1205.68	2030.09
1384.31	49293.9
1589.4	2496.87
1824.87	65579.5
2095.23	48203.2
2405.65	46350.4
2762.05	11627.4
3171.26	66818.6
3641.1	66211.6
4180.54	74921.3
4799.9	64230
5511.02	1855.89
6327.5	58613.5
7264.94	10006.3
8341.27	45369.5
9577.06	63622.1
10995.9	5355.09
12625	1932.54
14495.5	2166.94
16643	1719.43
19108.7	1706.37
21939.8	1701.03
25190.2	1704.38
28922.3	1702.48
33207.2	1701.7
38127	1709.33
43775.6	1703.46
50261.1	1700.98
57707.5	1693.13
66257.1	1700.85
76073.3	1711.94
87343.8	1714.11
100284	1688.49
115142	1703.04
132200	1695.57
151786	1692.84
174274	1691.48
200093	1690.93
229738	1687.79
263774	1690.96
302853	1687.53
347722	1687.74
399238	1688.52
458387	1688.68
526299	1689.18
604272	1690.25
693797	1690.75
796585	1690.67
914602	1691.66
1.0501e+06	1691.21
1.20568e+06	1710.19
1.38431e+06	1695.28
1.5894e+06	1695.78
1.82487e+06	1702.6
2.09523e+06	1706.65
2.40565e+06	1709.82
2.76205e+06	1705.01
3.17126e+06	1737.64
3.6411e+06	1956.36
4.18054e+06	1706.42
4.7999e+06	3976.44
5.51102e+06	1915.99
6.3275e+06	2008.71
7.26494e+06	5539.4
8.34127e+06	1732.29
9.57706e+06	11685
1.09959e+07	14790.3
1.2625e+07	14548.6
1.44955e+07	17174.6
1.6643e+07	18106
1.91087e+07	19813.1
2.19398e+07	14318.5
2.51902e+07	1716.82
2.89223e+07	15845.8
3.32072e+07	21428.1
3.8127e+07	19399.9
4.37756e+07	21897.8
5.02611e+07	19834.4
5.77075e+07	20752.8
6.62571e+07	20572.6
7.60733e+07	2170.05
8.73438e+07	21844.9
1.00284e+08	21286.9
1.15142e+08	22088.7
1.322e+08	3453.79
1.51786e+08	22109.9
1.74274e+08	22160.5
