(MAPKKK activation).Ki	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.0577516	29387.3
0.0663077	29387.3
0.0761314	29387.3
0.0874106	29387.3
0.100361	29387.3
0.11523	29387.3
0.132301	29387.3
0.151902	29387.3
0.174407	29387.3
0.200246	29387.3
0.229913	29387.3
0.263976	29387.3
0.303085	29387.3
0.347988	29387.3
0.399543	29387.3
0.458737	29387.3
0.526701	29387.3
0.604733	29387.3
0.694327	29387.3
0.797194	29387.3
0.915301	29387.3
1.05091	29387.3
1.2066	29387.3
1.38536	29387.3
1.59061	29387.3
1.82627	29387.3
2.09683	29387.3
2.40749	29387.3
2.76417	29387.3
3.17369	29387.3
3.64388	29387.3
4.18373	29387.3
4.80357	29387.3
5.51523	29387.3
6.33234	29387.3
7.2705	29387.3
8.34765	29387.3
9.58438	29387.3
11.0043	7163.02
12.6347	4811.39
14.5065	3715.71
16.6557	3057.77
19.1234	2628.89
21.9565	2347.6
25.2095	2081.31
28.9444	1900.33
33.2326	1819.01
38.1561	1728
43.8091	1694.7
50.2995	1692.69
57.7516	1687.74
66.3077	1692.22
76.1314	1701.02
87.4106	1719.48
100.361	1750.51
115.23	1776.17
132.301	1847.38
151.902	1875.21
174.407	1929.04
200.246	2000.24
229.913	2083.84
263.976	2236.24
303.085	18435.9
347.988	18435.9
399.543	18435.9
458.737	18435.9
526.701	18435.9
604.733	18435.9
694.327	18435.9
797.194	18435.9
915.301	18435.9
1050.91	18435.9
1206.6	18435.9
1385.36	18435.9
1590.61	18435.9
1826.27	18435.9
2096.83	18435.9
2407.49	18435.9
2764.17	18435.9
3173.69	18435.9
3643.88	18435.9
4183.73	18435.9
4803.57	18435.9
5515.23	18435.9
6332.34	18435.9
7270.5	18435.9
8347.65	18435.9
9584.38	18435.9
11004.3	18435.9
12634.7	18435.9
14506.5	18435.9
16655.7	18435.9
19123.4	18435.9
21956.5	18435.9
25209.5	18435.9
28944.4	18435.9
33232.6	18435.9
38156.1	18435.9
43809.1	18435.9
50299.5	18435.9
57751.6	18435.9
