(phosphorylation of MAPK-P).k8	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.213865	84228.9
0.24555	78703.7
0.281929	77139.5
0.323698	107826
0.371655	103553
0.426717	78186.8
0.489936	105741
0.562522	94021.3
0.645862	80172.3
0.741549	80294.9
0.851412	78502.4
0.977552	2025.73
1.12238	16121.2
1.28866	1847.62
1.47958	1709.25
1.69879	4146.74
1.95047	1799.96
2.23944	1854.11
2.57122	1746.58
2.95216	1757.64
3.38953	1820.23
3.8917	1768.31
4.46827	1712.98
5.13026	1707.52
5.89033	1695.75
6.76301	1784.98
7.76497	1751.43
8.91538	1700.89
10.2362	1705.65
11.7528	1722.18
13.494	1718.3
15.4931	2154.44
17.7885	1733.32
20.4239	1690.01
23.4498	1719.65
26.924	1691.33
30.9129	1702.62
35.4928	1701.9
40.7511	1693.53
46.7886	1693.32
53.7205	1697.74
61.6793	1690.04
70.8174	1709.07
81.3092	1690.48
93.3555	1689.22
107.186	1689.19
123.066	1689.87
141.299	1690.05
162.233	1688.13
186.269	1688.43
213.865	1687.74
245.55	1694.78
281.929	1893.1
323.698	2395.93
371.655	3024.45
426.717	3919.01
489.936	4986.06
562.522	6215.6
645.862	7300.1
741.549	8599.46
851.412	9736.29
977.552	11057.4
1122.38	12185.4
1288.66	13368.6
1479.58	14350.8
1698.79	15289.7
1950.47	16141
2239.44	16953.1
2571.22	18104.8
2952.16	18660
3389.53	19275.4
3891.7	19542.9
4468.27	19633.8
5130.26	20077.8
5890.33	20420.8
6763.01	20701.8
7764.97	19766
8915.38	21059.5
10236.2	21310.9
11752.8	21470.5
13494	21604.9
15493.1	21765.5
17788.5	21844.5
20423.9	21907.8
23449.8	21984.4
26924	22078.2
30912.9	22109
35492.8	22183.2
40751.1	22209.6
46788.6	22303
53720.5	22286.7
61679.3	22292.9
70817.4	22340
81309.2	22361.7
93355.5	22386.2
107186	22405.8
123066	22426
141299	22405.4
162233	22431.8
186269	22433.3
213865	22450.2
